phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
4,388058,5.01,"main_cat IN ('Computers', 'Cell Phones &amp; Accessories')",0.92,0.872,0.92,0.872,1.21,0.874,5.72,0.98
4,388058,7.13,verified=false AND overall<=3.0,0.94,0.668,0.94,0.668,2.0,0.68,12.31,0.992
4,388058,9.24,"main_cat IN ('Camera &amp; Photo', 'Car Electronics')",0.93,0.852,0.93,0.852,1.57,0.858,10.87,0.978
4,388058,11.95,verified=false AND overall<=4.0,0.9,0.838,0.9,0.838,2.28,0.838,19.23,0.996
4,388058,14.12,"main_cat IN ('Camera & Photo', 'Car Electronics')",2.09,0.89,0.87,0.882,2.09,0.89,16.21,0.992
4,388058,16.0,"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Cell Phones &amp; Accessories')",0.86,0.878,0.86,0.878,2.35,0.894,18.76,0.966
4,388058,18.04,"main_cat IN ('Camera & Photo', 'Computers', 'Car Electronics')",0.86,0.908,0.86,0.908,2.56,0.906,20.76,0.994
4,388058,21.24,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",2.83,0.854,3.27,0.844,2.68,0.856,23.87,0.956
4,388058,23.09,"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Computers')",1.76,0.906,1.76,0.906,3.06,0.914,27.54,0.964
4,388058,25.12,"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Car Electronics')",1.67,0.904,1.67,0.904,3.14,0.912,29.81,0.968
4,388058,27.08,"main_cat IN ('Home Audio & Theater', 'Computers')",3.61,0.896,4.73,0.886,3.61,0.896,32.35,0.938
4,388058,29.92,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')",0.94,0.93,0.94,0.93,3.64,0.936,34.5,0.964
4,388058,32.02,"main_cat IN ('All Electronics', 'Musical Instruments', 'Books')",0.9,0.898,0.9,0.898,3.88,0.906,36.81,0.952
4,388058,34.16,"main_cat IN ('Home Audio & Theater', 'Home Audio &amp; Theater')",0.87,0.876,0.87,0.876,3.87,0.888,38.82,0.934
4,388058,39.19,"main_cat IN ('All Electronics', 'Home Audio &amp; Theater', 'Car Electronics')",3.01,0.904,1.34,0.894,4.54,0.908,44.25,0.942
4,388058,60.83,verified=true AND overall>=4.0,2.95,0.898,2.95,0.898,6.97,0.904,72.68,0.93
4,388058,66.13,verified=true AND overall>=3.0,2.15,0.894,0.92,0.894,7.05,0.904,79.39,0.924
4,388058,67.53,"overall IN (3,5)",5.14,0.894,4.68,0.886,7.15,0.894,84.05,0.916
4,388058,70.13,"overall IN (1,5)",5.28,0.904,5.07,0.904,7.28,0.904,87.48,0.934
4,388058,72.59,"overall IN (2,3,5)",3.32,0.888,3.32,0.888,7.53,0.896,91.25,0.92
4,388058,75.18,"overall IN (1,2,5)",3.36,0.904,3.36,0.904,7.27,0.904,85.56,0.934
4,388058,77.37,"overall IN (1,3,5)",0.89,0.902,0.89,0.902,7.29,0.902,88.49,0.932
4,388058,77.87,overall>=4.0,3.9,0.894,3.9,0.894,7.34,0.9,89.12,0.928
4,388058,82.42,"overall IN (1,2,3,5)",2.64,0.904,2.64,0.904,7.76,0.904,105.82,0.934
4,388058,82.92,"overall IN (2,4,5)",3.59,0.89,3.59,0.89,7.39,0.898,92.58,0.924
4,388058,85.11,overall>=3.0,0.95,0.888,0.95,0.888,7.59,0.9,97.64,0.92
4,388058,87.71,"overall IN (1,4,5)",4.97,0.904,4.97,0.904,7.66,0.904,104.43,0.936
4,388058,90.16,overall>=2.0,13.64,0.892,13.64,0.892,8.03,0.898,127.03,0.924
4,388058,92.76,"overall IN (1,2,4,5)",3.2,0.9,3.2,0.9,7.67,0.9,100.04,0.934
4,388058,94.95,"overall IN (1,3,4,5)",8.03,0.904,8.03,0.904,8.5,0.904,127.0,0.936
