phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
1,100000,5.03,brand='Sony',0.67,0.856,0.67,0.856,0.49,0.856,1.44,1.0
1,100000,7.0,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories')",0.63,0.94,0.63,0.94,0.57,0.94,2.05,1.0
1,100000,8.97,main_cat='Camera & Photo' AND overall>=3.0,0.63,0.914,0.64,0.912,0.65,0.916,2.64,0.996
1,100000,12.05,"main_cat IN ('Books', 'Sports & Outdoors', 'Office Products')",0.64,0.898,0.64,0.898,0.69,0.908,3.25,0.99
1,100000,13.98,"main_cat IN ('Computers', 'Sports & Outdoors', 'Camera &amp; Photo')",0.61,0.958,0.61,0.958,0.76,0.962,3.95,0.982
1,100000,16.0,"main_cat IN ('Home Audio &amp; Theater', 'Office Products')",0.83,0.962,0.61,0.956,0.83,0.962,4.54,0.99
1,100000,18.08,"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",0.89,0.972,0.61,0.97,0.89,0.972,5.13,1.0
1,100000,21.09,"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Camera &amp; Photo')",0.69,0.976,0.6,0.976,0.96,0.982,5.99,0.994
1,100000,23.08,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo')",0.98,0.968,0.59,0.964,0.98,0.968,6.54,0.98
1,100000,24.98,"main_cat IN ('Home Audio &amp; Theater', 'Camera & Photo', 'Car Electronics')",0.59,0.994,0.59,0.994,1.02,0.996,6.97,1.0
1,100000,27.02,"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors', 'Camera &amp; Photo')",1.15,0.968,0.59,0.966,1.15,0.968,7.62,0.98
1,100000,29.83,"main_cat IN ('Home Audio & Theater', 'Computers', 'Sports & Outdoors')",0.59,0.98,0.59,0.98,1.18,0.98,8.33,0.99
1,100000,31.91,"main_cat IN ('All Electronics', 'Computers', 'Cell Phones &amp; Accessories')",0.59,0.958,0.59,0.958,1.2,0.958,8.83,0.982
1,100000,34.16,"main_cat IN ('Home Audio & Theater', 'Home Audio &amp; Theater', 'Car Electronics')",1.25,0.964,0.59,0.96,1.25,0.964,9.4,0.984
1,100000,39.02,"main_cat IN ('All Electronics', 'Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",0.59,0.98,0.59,0.98,1.37,0.982,10.82,0.996
1,100000,61.14,overall>=5.0,1.04,0.952,1.04,0.952,2.48,0.972,20.18,0.954
1,100000,65.81,"overall IN (2,5)",0.68,0.952,0.68,0.952,2.19,0.972,20.24,0.954
1,100000,68.22,"overall IN (3,5)",0.93,0.964,0.65,0.95,2.22,0.972,20.9,0.952
1,100000,70.32,verified=true AND overall>=2.0,0.77,0.944,0.65,0.944,2.22,0.962,20.75,0.938
1,100000,72.88,"overall IN (2,3,5)",2.24,0.972,0.65,0.95,2.24,0.972,21.78,0.952
1,100000,75.38,"overall IN (1,2,5)",2.23,0.97,0.64,0.95,2.23,0.97,22.13,0.952
1,100000,77.11,verified=true AND overall<=5.0,0.85,0.936,0.85,0.936,2.21,0.954,22.39,0.93
1,100000,78.69,overall>=4.0,2.17,0.948,2.17,0.948,2.25,0.964,23.61,0.944
1,100000,82.45,"overall IN (1,2,3,5)",2.26,0.966,0.64,0.944,2.26,0.966,23.98,0.946
1,100000,83.36,"overall IN (2,4,5)",2.26,0.966,0.64,0.95,2.26,0.966,23.75,0.944
1,100000,85.77,overall>=3.0,2.28,0.966,0.64,0.95,2.28,0.966,24.54,0.942
1,100000,88.26,"overall IN (1,4,5)",2.28,0.962,0.63,0.946,2.28,0.962,24.69,0.94
1,100000,90.43,overall>=2.0,0.65,0.95,0.65,0.95,2.34,0.966,25.6,0.942
1,100000,92.93,"overall IN (1,2,4,5)",0.68,0.946,0.68,0.946,2.36,0.962,25.86,0.94
1,100000,95.33,"overall IN (1,3,4,5)",0.64,0.942,0.64,0.942,2.38,0.958,26.58,0.934
