phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
3,300000,4.75,main_cat='Camera &amp; Photo' AND overall>=5.0,0.91,0.764,0.91,0.764,1.02,0.79,4.8,0.984
3,300000,6.89,main_cat='Home Audio &amp; Theater' AND overall>=5.0,0.88,0.858,0.88,0.858,1.24,0.866,7.21,0.99
3,300000,9.04,"main_cat IN ('Camera &amp; Photo', 'Books')",0.87,0.864,0.87,0.864,1.33,0.874,7.97,0.984
3,300000,12.12,"main_cat IN ('Home Audio &amp; Theater', 'Car Electronics')",0.85,0.906,0.85,0.906,1.62,0.908,11.17,0.99
3,300000,14.0,"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Car Electronics')",1.66,0.91,0.84,0.91,1.71,0.912,12.51,0.99
3,300000,16.03,main_cat='All Electronics' AND overall>=5.0,2.15,0.894,0.86,0.884,2.15,0.894,16.49,0.96
3,300000,17.91,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",2.08,0.906,1.45,0.89,2.08,0.906,16.09,0.976
3,300000,21.3,overall<=3.0,3.09,0.84,2.61,0.836,3.09,0.84,27.05,0.996
3,300000,22.88,"main_cat IN ('Home Audio &amp; Theater', 'Camera & Photo', 'Car Electronics')",0.86,0.92,0.86,0.92,2.44,0.926,20.53,0.97
3,300000,25.05,"main_cat IN ('Home Audio & Theater', 'Office Products')",0.81,0.904,0.81,0.904,2.96,0.906,22.33,0.946
3,300000,26.98,"main_cat IN ('Home Audio & Theater', 'Books', 'Sports & Outdoors')",0.85,0.908,0.82,0.908,2.57,0.912,23.81,0.936
3,300000,29.95,"main_cat IN ('All Electronics', 'Sports & Outdoors', 'Office Products')",0.82,0.924,0.82,0.924,2.81,0.932,27.05,0.938
3,300000,32.02,"main_cat IN ('All Electronics', 'Musical Instruments', 'Car Electronics')",3.0,0.918,4.92,0.916,3.0,0.918,30.13,0.94
3,300000,33.97,"overall IN (1,3,4)",4.8,0.942,3.28,0.942,4.8,0.942,39.46,0.968
3,300000,39.03,"main_cat IN ('All Electronics', 'Camera & Photo', 'Office Products')",0.82,0.944,0.82,0.944,3.81,0.946,35.03,0.948
3,300000,61.08,"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Home Audio &amp; Theater')",3.17,0.912,3.17,0.912,4.61,0.914,52.2,0.95
3,300000,66.03,"overall IN (2,5)",0.99,0.942,0.99,0.942,5.72,0.944,61.73,0.948
3,300000,68.28,"overall IN (3,5)",2.48,0.94,2.48,0.94,5.57,0.946,62.65,0.946
3,300000,70.08,verified=true AND overall>=2.0,0.8,0.92,0.8,0.92,6.07,0.934,62.33,0.93
3,300000,73.07,"overall IN (2,3,5)",3.55,0.938,3.55,0.938,6.33,0.944,67.03,0.946
3,300000,75.49,"overall IN (1,2,5)",1.36,0.938,1.36,0.938,6.35,0.938,70.45,0.95
3,300000,76.34,verified=true AND overall<=5.0,3.91,0.926,3.51,0.924,6.27,0.934,70.71,0.938
3,300000,78.7,overall>=4.0,3.23,0.926,4.11,0.926,6.16,0.936,69.14,0.942
3,300000,82.54,"overall IN (1,2,3,5)",2.44,0.946,2.44,0.946,6.38,0.946,75.61,0.952
3,300000,83.49,"overall IN (2,4,5)",2.75,0.926,2.75,0.926,6.29,0.936,75.64,0.94
3,300000,85.75,overall>=3.0,1.63,0.92,1.63,0.92,6.41,0.934,76.86,0.934
3,300000,88.17,"overall IN (1,4,5)",2.72,0.932,2.72,0.932,6.28,0.94,79.32,0.944
3,300000,90.53,overall>=2.0,0.9,0.918,0.9,0.918,6.46,0.932,77.43,0.934
3,300000,92.96,"overall IN (1,2,4,5)",3.18,0.93,3.18,0.93,6.4,0.938,79.28,0.946
3,300000,95.21,"overall IN (1,3,4,5)",2.5,0.928,2.5,0.928,6.7,0.936,88.01,0.942
