phase,n_docs,epoch,mean_reward,crossover
1,100000,1,0.838582,0.28
1,100000,2,0.838405,0.28
1,100000,3,0.840692,0.28
1,100000,4,0.841697,0.28
1,100000,5,0.841559,0.28
1,100000,6,0.841403,0.28
1,100000,7,0.841409,0.28
1,100000,8,0.841409,0.28
1,100000,9,0.840347,0.28
1,100000,10,0.841006,0.28
2,200000,1,0.781348,0.22
2,200000,2,0.791897,0.2
2,200000,3,0.799027,0.2
2,200000,4,0.784153,0.24
2,200000,5,0.800299,0.2
2,200000,6,0.788732,0.2
2,200000,7,0.780664,0.28
2,200000,8,0.78735,0.2
2,200000,9,0.788561,0.2
2,200000,10,0.781515,0.2
3,300000,1,0.729046,0.2
3,300000,2,0.722318,0.2
3,300000,3,0.737431,0.22
3,300000,4,0.736983,0.22
3,300000,5,0.736822,0.2
3,300000,6,0.735691,0.22
3,300000,7,0.738018,0.12
3,300000,8,0.736902,0.12
3,300000,9,0.736442,0.12
3,300000,10,0.737559,0.22
4,388058,1,0.669424,0.0
4,388058,2,0.680543,0.0
4,388058,3,0.678016,0.16
4,388058,4,0.677337,0.28
4,388058,5,0.68128,0.16
4,388058,6,0.68446,0.16
4,388058,7,0.683249,0.16
4,388058,8,0.685082,0.0
4,388058,9,0.670383,0.0
4,388058,10,0.680663,0.0
