phase,n_docs,cbo_reward,crossover,bitmap_reward,post_reward,idselector_reward,gain_vs_bitmap_pct,gain_vs_post_pct,gain_vs_idselector_pct
1,100000,0.841006,0.28,0.347625,0.85865,0.819923,141.9294,-2.0548,2.5713
2,200000,0.781515,0.2,0.175035,0.804564,0.727534,346.4909,-2.8647,7.4197
3,300000,0.737559,0.22,0.101827,0.739929,0.641699,624.3281,-0.3203,14.9384
4,388058,0.680663,0.0,0.059531,0.684342,0.581601,1043.3663,-0.5376,17.0325
