phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
2,200000,5.0,"main_cat IN ('Computers', 'Office Products')",0.79,0.836,0.83,0.834,0.74,0.838,2.9,0.978
2,200000,7.08,brand='Tiffen',0.82,0.742,0.83,0.732,0.79,0.768,3.91,0.988
2,200000,9.08,main_cat='Home Audio &amp; Theater' AND overall>=3.0,0.94,0.89,0.78,0.892,1.05,0.89,5.6,0.994
2,200000,12.08,"main_cat IN ('Camera &amp; Photo', 'Computers')",0.77,0.934,0.77,0.934,1.09,0.934,7.21,0.988
2,200000,14.0,"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Office Products')",1.3,0.932,0.76,0.926,1.3,0.932,8.22,0.98
2,200000,16.02,"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Office Products')",0.85,0.91,0.77,0.908,1.35,0.92,9.33,0.98
2,200000,17.81,"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')",0.8,0.952,0.76,0.952,1.45,0.956,10.56,0.986
2,200000,21.04,overall<=3.0,0.83,0.834,0.83,0.834,2.01,0.838,17.59,0.996
2,200000,23.1,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Sports & Outdoors')",0.77,0.908,0.77,0.908,1.57,0.918,12.91,0.98
2,200000,24.97,"overall IN (3,4)",0.76,0.948,0.76,0.948,2.25,0.952,20.8,0.978
2,200000,27.0,"main_cat IN ('Home Audio & Theater', 'Books')",1.74,0.934,0.76,0.928,1.95,0.934,15.53,0.982
2,200000,30.09,"main_cat IN ('All Electronics', 'Computers', 'Sports & Outdoors')",1.15,0.944,0.75,0.942,2.01,0.95,17.21,0.97
2,200000,31.88,"overall IN (1,2,4)",1.23,0.952,0.75,0.95,2.75,0.952,24.79,0.98
2,200000,34.01,"main_cat IN ('All Electronics', 'Camera &amp; Photo', 'Musical Instruments')",2.25,0.954,1.62,0.952,2.29,0.954,19.83,0.976
2,200000,38.94,overall<=4.0,0.75,0.948,0.75,0.948,3.02,0.952,28.57,0.978
2,200000,61.06,overall>=5.0,3.79,0.928,1.06,0.914,3.79,0.928,38.37,0.938
2,200000,65.83,verified=true AND overall>=3.0,3.76,0.92,0.74,0.91,3.76,0.92,39.48,0.928
2,200000,68.12,"overall IN (3,5)",3.5,0.928,2.69,0.916,3.91,0.928,41.91,0.934
2,200000,70.28,"overall IN (1,5)",2.76,0.922,1.95,0.916,3.95,0.93,42.5,0.932
2,200000,72.87,"overall IN (2,3,5)",0.75,0.912,0.75,0.912,3.93,0.924,43.13,0.934
2,200000,75.03,"overall IN (1,2,5)",0.73,0.914,0.73,0.914,3.92,0.928,43.19,0.932
2,200000,77.35,"overall IN (1,3,5)",0.74,0.91,0.74,0.91,3.9,0.922,44.32,0.928
2,200000,78.96,overall>=4.0,0.86,0.92,0.86,0.92,4.06,0.928,47.32,0.938
2,200000,82.09,"overall IN (1,2,3,5)",2.57,0.912,1.12,0.912,4.04,0.924,50.93,0.93
2,200000,83.71,"overall IN (2,4,5)",2.33,0.92,0.82,0.92,4.1,0.928,49.53,0.938
2,200000,86.03,overall>=3.0,2.86,0.914,1.92,0.914,4.13,0.922,49.94,0.934
2,200000,88.19,"overall IN (1,4,5)",2.5,0.918,0.73,0.916,4.02,0.924,49.71,0.932
2,200000,90.78,overall>=2.0,0.75,0.914,0.75,0.914,4.17,0.922,50.78,0.934
2,200000,92.94,"overall IN (1,2,4,5)",2.68,0.912,2.68,0.912,4.31,0.92,53.02,0.932
2,200000,95.25,"overall IN (1,3,4,5)",0.74,0.912,0.74,0.912,4.24,0.92,52.36,0.93
