phase,n_docs,epoch,mean_reward,crossover
1,100000,1,0.86721,0.16
1,100000,2,0.888989,0.2
1,100000,3,0.887118,0.2
1,100000,4,0.886942,0.2
1,100000,5,0.886942,0.2
1,100000,6,0.886942,0.2
1,100000,7,0.886348,0.2
1,100000,8,0.886942,0.2
1,100000,9,0.886942,0.2
1,100000,10,0.886942,0.2
2,200000,1,0.805822,0.14
2,200000,2,0.819443,0.14
2,200000,3,0.820023,0.14
2,200000,4,0.820023,0.14
2,200000,5,0.8198,0.14
2,200000,6,0.820023,0.14
2,200000,7,0.820023,0.14
2,200000,8,0.820023,0.14
2,200000,9,0.820023,0.14
2,200000,10,0.820023,0.14
3,300000,1,0.765023,0.12
3,300000,2,0.773103,0.12
3,300000,3,0.773354,0.12
3,300000,4,0.773354,0.12
3,300000,5,0.773354,0.12
3,300000,6,0.773354,0.12
3,300000,7,0.773354,0.12
3,300000,8,0.773354,0.12
3,300000,9,0.773354,0.12
3,300000,10,0.773354,0.12
4,388058,1,0.704641,0.0
4,388058,2,0.718118,0.0
4,388058,3,0.720077,0.0
4,388058,4,0.720332,0.0
4,388058,5,0.720332,0.0
4,388058,6,0.720165,0.1
4,388058,7,0.709837,0.0
4,388058,8,0.720332,0.0
4,388058,9,0.720332,0.0
4,388058,10,0.720332,0.0
