phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
1,100000,5.03,brand='Sony',1.44,1.0,0.69,0.86,0.5,0.866,1.44,1.0
1,100000,7.0,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories')",2.05,0.986,0.67,0.912,0.58,0.916,2.05,0.986
1,100000,8.97,main_cat='Camera & Photo' AND overall>=3.0,2.62,1.0,0.73,0.856,0.65,0.868,2.62,1.0
1,100000,12.05,"main_cat IN ('Books', 'Sports & Outdoors', 'Office Products')",3.3,0.974,0.71,0.838,0.71,0.872,3.3,0.974
1,100000,13.98,"main_cat IN ('Computers', 'Sports & Outdoors', 'Camera &amp; Photo')",3.96,0.978,0.67,0.902,0.79,0.912,3.96,0.978
1,100000,16.0,"main_cat IN ('Home Audio &amp; Theater', 'Office Products')",0.66,0.932,0.66,0.932,0.84,0.932,4.6,0.992
1,100000,18.08,"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",5.24,0.988,0.65,0.924,0.89,0.926,5.24,0.988
1,100000,21.09,"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Camera &amp; Photo')",0.65,0.944,0.65,0.944,0.97,0.944,6.12,0.992
1,100000,23.08,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo')",0.63,0.956,0.63,0.956,1.02,0.956,6.74,0.984
1,100000,24.98,"main_cat IN ('Home Audio &amp; Theater', 'Camera & Photo', 'Car Electronics')",0.64,0.94,0.64,0.94,1.06,0.94,7.15,0.984
1,100000,27.02,"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors', 'Camera &amp; Photo')",0.65,0.96,0.65,0.96,1.19,0.96,8.02,0.986
1,100000,29.83,"main_cat IN ('Home Audio & Theater', 'Computers', 'Sports & Outdoors')",0.64,0.962,0.64,0.962,1.21,0.964,8.54,0.982
1,100000,31.91,"main_cat IN ('All Electronics', 'Computers', 'Cell Phones &amp; Accessories')",0.64,0.952,0.64,0.952,1.25,0.952,9.19,0.982
1,100000,34.16,"main_cat IN ('Home Audio & Theater', 'Home Audio &amp; Theater', 'Car Electronics')",0.65,0.95,0.65,0.95,1.27,0.956,9.66,0.98
1,100000,39.02,"main_cat IN ('All Electronics', 'Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",0.64,0.942,0.64,0.942,1.4,0.942,11.07,0.984
1,100000,61.14,overall>=5.0,0.64,0.95,0.64,0.95,2.12,0.956,18.84,0.972
1,100000,65.81,"overall IN (2,5)",0.62,0.968,0.62,0.968,2.16,0.972,20.06,0.972
1,100000,68.22,"overall IN (3,5)",0.62,0.966,0.62,0.966,2.17,0.97,20.28,0.972
1,100000,70.32,verified=true AND overall>=2.0,0.63,0.974,0.63,0.974,2.17,0.976,20.64,0.976
1,100000,72.88,"overall IN (2,3,5)",0.82,0.968,0.82,0.968,2.23,0.972,21.43,0.972
1,100000,75.38,"overall IN (1,2,5)",0.63,0.968,0.63,0.968,2.24,0.972,21.75,0.972
1,100000,77.11,verified=true AND overall<=5.0,1.5,0.974,1.5,0.974,2.21,0.976,22.11,0.976
1,100000,78.69,overall>=4.0,0.64,0.97,0.64,0.97,2.25,0.972,22.42,0.976
1,100000,82.45,"overall IN (1,2,3,5)",0.62,0.968,0.62,0.968,2.3,0.972,23.56,0.972
1,100000,83.36,"overall IN (2,4,5)",0.65,0.976,0.65,0.976,2.28,0.978,23.64,0.976
1,100000,85.77,overall>=3.0,1.03,0.976,1.03,0.976,2.25,0.978,24.03,0.976
1,100000,88.26,"overall IN (1,4,5)",0.62,0.976,0.62,0.976,2.27,0.978,24.26,0.976
1,100000,90.43,overall>=2.0,0.63,0.976,0.63,0.976,2.3,0.978,24.8,0.976
1,100000,92.93,"overall IN (1,2,4,5)",0.63,0.976,0.63,0.976,2.33,0.978,25.36,0.976
1,100000,95.33,"overall IN (1,3,4,5)",0.63,0.976,0.63,0.976,2.4,0.978,26.07,0.976
