phase,n_docs,epoch,query_idx,filter_idx,selectivity,strategy_chosen,latency_ms,recall,reward,q_bitmap,q_post,crossover_estimate,was_guardrail,oracle_strategy,oracle_reward
1,100000,0,42,19,0.72884,bitmap_prefilter,21.337250007491093,1.0,0.0,0.5,0.5,,False,post_filter,0.9680833501770394
1,100000,0,21,19,0.72884,post_filter,0.953417009441182,1.0,0.9523291495279409,0.45,0.5,,False,post_filter,0.9523291495279409
1,100000,0,15,14,0.39017,post_filter,0.6749159947503358,1.0,0.9662542002624832,0.5,0.5,,False,post_filter,0.9662542002624832
1,100000,0,2,18,0.70315,bitmap_prefilter,20.289375002903398,1.0,0.0,0.5,0.5,0.66,False,post_filter,0.9591124502330786
1,100000,0,38,29,0.95333,post_filter,0.30316699849208817,0.9,0.7095157099752974,0.5,0.5,0.66,True,post_filter,0.7095157099752974
1,100000,0,48,22,0.78694,bitmap_prefilter,22.171457996591926,1.0,0.0,0.5,0.5,0.66,False,post_filter,0.9703083503845846
1,100000,0,15,16,0.65811,post_filter,0.6690419977530837,1.0,0.9665479001123458,0.5,0.5,0.61,False,post_filter,0.9665479001123458
1,100000,0,48,27,0.90434,post_filter,0.5962089999229647,1.0,0.9701895500038518,0.5,0.5209515709975298,0.61,True,post_filter,0.9701895500038518
1,100000,0,49,23,0.8245,bitmap_prefilter,23.204875004012138,1.0,0.0,0.5,0.5,0.61,False,post_filter,0.9652687503839843
1,100000,0,36,1,0.07002,post_filter,0.6886249975650571,1.0,0.9655687501217471,0.5,0.5,0.61,False,post_filter,0.9655687501217471
1,100000,0,29,6,0.1808,bitmap_prefilter,5.194876001041848,1.0,0.7402561999479076,0.5,0.5,0.61,False,post_filter,0.9661540998204146
1,100000,0,43,4,0.1398,bitmap_prefilter,3.9845420033088885,1.0,0.8007728998345556,0.5,0.5,0.61,False,post_filter,0.9610500497510657
1,100000,0,19,18,0.70315,bitmap_prefilter,21.13683299103286,1.0,0.0,0.45,0.5,0.61,False,post_filter,0.9660353998478968
1,100000,0,13,4,0.1398,bitmap_prefilter,3.85587500204565,1.0,0.8072062498977175,0.5300772899834556,0.5,0.61,False,post_filter,0.9791020502016181
1,100000,0,14,19,0.72884,post_filter,0.9857909972197376,1.0,0.9507104501390131,0.45,0.5452329149527941,0.61,False,post_filter,0.9507104501390131
1,100000,0,41,17,0.68217,post_filter,0.24179100000765175,1.0,0.9879104499996174,0.405,0.5,0.61,False,post_filter,0.9879104499996174
1,100000,0,16,20,0.75377,post_filter,0.562834000447765,1.0,0.9718582999776118,0.45,0.5857806684714161,0.61,False,post_filter,0.9718582999776118
1,100000,0,45,0,0.05025,bitmap_prefilter,1.4557919930666685,1.0,0.9272104003466666,0.5,0.5465568750121748,0.61,False,bitmap_prefilter,0.9272104003466666
1,100000,0,34,8,0.23083,bitmap_prefilter,6.812291001551785,1.0,0.6593854499224108,0.5,0.5,0.61,False,post_filter,0.9676187497243518
1,100000,0,49,12,0.31908,bitmap_prefilter,9.084124998480547,1.0,0.5457937500759726,0.5,0.5,0.61,False,post_filter,0.9678249998396495
1,100000,0,37,16,0.65811,post_filter,0.7914579982752912,1.0,0.9604271000862354,0.5,0.5466547900112346,0.61,False,post_filter,0.9604271000862354
1,100000,0,47,19,0.72884,post_filter,0.6566660013049841,1.0,0.9671666999347508,0.45,0.6243884316220356,0.61,False,post_filter,0.9671666999347508
1,100000,0,0,15,0.61144,bitmap_prefilter,18.737625003268477,1.0,0.06311874983657617,0.5,0.5880320210187348,0.61,False,post_filter,0.9729187500633998
1,100000,0,3,20,0.75377,post_filter,0.37599999632220715,1.0,0.9812000001838896,0.45,0.6586662584533072,0.61,False,post_filter,0.9812000001838896
1,100000,0,18,12,0.31908,bitmap_prefilter,9.210625001287553,1.0,0.5394687499356223,0.5045793750075973,0.5,0.61,False,post_filter,0.970895850128727
1,100000,0,10,6,0.1808,bitmap_prefilter,5.053750006482005,1.0,0.7473124996758997,0.5240256199947908,0.5,0.61,False,post_filter,0.9661958499928005
1,100000,0,17,10,0.2702,bitmap_prefilter,7.8033329991740175,1.0,0.6098333500412991,0.5,0.5,0.61,False,post_filter,0.9666541498299921
1,100000,0,35,29,0.95333,post_filter,0.2511240018066019,1.0,0.9874437999096699,0.5,0.5658753688981619,0.61,True,post_filter,0.9874437999096699
1,100000,0,40,5,0.16001,post_filter,0.8520839983248152,1.0,0.9573958000837592,0.5,0.5,0.61,False,post_filter,0.9573958000837592
1,100000,0,4,12,0.31908,bitmap_prefilter,8.955999997851904,1.0,0.5522000001074048,0.5080683125003999,0.5,0.61,False,post_filter,0.9603458498313557
1,100000,0,44,9,0.24979,bitmap_prefilter,7.18845800292911,1.0,0.6405770998535445,0.5,0.5,0.61,False,post_filter,0.969158299791161
1,100000,0,36,0,0.05025,bitmap_prefilter,1.4131249990896322,1.0,0.9293437500455184,0.5427210400346667,0.5465568750121748,0.61,False,post_filter,0.9645792002411326
1,100000,0,42,16,0.65811,post_filter,0.625667002168484,1.0,0.9687166498915758,0.4563118749836576,0.5880320210187348,0.61,False,post_filter,0.9687166498915758
1,100000,0,31,3,0.12052,bitmap_prefilter,3.218000005290378,1.0,0.8390999997354811,0.5577901859748818,0.5,0.61,False,bitmap_prefilter,0.8390999997354811
1,100000,0,14,16,0.65811,post_filter,0.6949999951757491,1.0,0.9652500002412125,0.4563118749836576,0.6261004839060189,0.61,False,post_filter,0.9652500002412125
1,100000,0,26,14,0.39017,bitmap_prefilter,11.206334005692042,1.0,0.4396832997153979,0.5,0.5466254200262484,0.61,False,post_filter,0.9650375000783242
1,100000,0,19,8,0.23083,bitmap_prefilter,6.75404100184096,1.0,0.662297949907952,0.5159385449922411,0.5,0.61,False,post_filter,0.9676437495509163
1,100000,0,24,21,0.77111,post_filter,0.8465840001008473,1.0,0.9576707999949576,0.45,0.5,0.61,False,post_filter,0.9576707999949576
1,100000,0,4,19,0.72884,bitmap_prefilter,21.120001008966938,1.0,0.0,0.45,0.6909196326263655,0.61,False,post_filter,0.9093062495376216
1,100000,0,6,11,0.29827,bitmap_prefilter,8.695541000633966,1.0,0.5652229499683017,0.5,0.5,0.61,False,post_filter,0.964329150316189
1,100000,0,11,2,0.08972,bitmap_prefilter,2.6198750056209974,1.0,0.8690062497189501,0.5813833110357519,0.5465568750121748,0.61,False,bitmap_prefilter,0.8690062497189501
1,100000,0,33,2,0.08972,bitmap_prefilter,2.60541799798375,1.0,0.8697291001008125,0.6101456049040718,0.5465568750121748,0.61,False,bitmap_prefilter,0.8697291001008125
1,100000,0,21,6,0.1808,bitmap_prefilter,5.234292002569418,1.0,0.7382853998715291,0.5463543079629017,0.5,0.61,False,post_filter,0.9589395498333033
1,100000,0,4,15,0.61144,post_filter,0.7742500019958243,1.0,0.9612874999002088,0.4563118749836576,0.6600154355395382,0.61,False,post_filter,0.9612874999002088
1,100000,0,9,22,0.78694,bitmap_prefilter,22.351083003741223,0.9,0.0,0.45,0.5457670799994958,0.61,False,post_filter,0.7102901789056029
1,100000,0,48,1,0.07002,post_filter,0.60237599973334,1.0,0.969881200013333,0.6361039544237459,0.5465568750121748,0.61,False,post_filter,0.969881200013333
1,100000,0,2,20,0.75377,post_filter,0.7852920025470667,1.0,0.9607353998726467,0.405,0.6909196326263655,0.61,False,post_filter,0.9607353998726467
1,100000,0,5,27,0.90434,post_filter,0.8103749933070503,1.0,0.9594812503346475,0.5,0.6080322119993127,0.61,True,post_filter,0.9594812503346475
1,100000,0,0,19,0.72884,post_filter,0.5314580048434436,1.0,0.9734270997578278,0.405,0.7179012093509936,0.61,False,post_filter,0.9734270997578278
1,100000,0,19,13,0.34161,post_filter,0.6584989969269373,1.0,0.9670750501536531,0.5,0.5,0.34,False,post_filter,0.9670750501536531
1,100000,0,20,18,0.70315,post_filter,0.7617079972987995,1.0,0.96191460013506,0.405,0.5487910449999618,0.34,False,post_filter,0.96191460013506
1,100000,0,18,1,0.07002,post_filter,0.5365830002119765,1.0,0.9731708499894012,0.6361039544237459,0.5888893075122906,0.34,False,post_filter,0.9731708499894012
1,100000,0,40,28,0.92927,post_filter,0.8579159984947182,1.0,0.9571042000752641,0.5,0.6431771158328462,0.34,True,post_filter,0.9571042000752641
1,100000,0,13,10,0.2702,post_filter,0.3874159956467338,1.0,0.9806292002176633,0.51098333500413,0.5,0.34,False,post_filter,0.9806292002176633
1,100000,0,15,25,0.85767,bitmap_prefilter,23.670000991842244,1.0,0.0,0.45,0.5,0.34,False,post_filter,0.9468624999281019
1,100000,0,28,14,0.39017,post_filter,0.1975840059458278,0.4,0.0002145154672533217,0.4939683299715398,0.5466254200262484,0.61,False,post_filter,0.0002145154672533217
1,100000,0,24,9,0.24979,bitmap_prefilter,7.1919589972822,1.0,0.64040205013589,0.5140577099853545,0.5,0.61,False,post_filter,0.9653500501153758
1,100000,0,13,9,0.24979,bitmap_prefilter,7.181834000220988,1.0,0.6409082999889506,0.5266921440004081,0.5,0.61,False,post_filter,0.9801811998622725
1,100000,0,1,27,0.90434,post_filter,0.5133739978191443,1.0,0.9743313001090428,0.5,0.674569824257088,0.61,True,post_filter,0.9743313001090428
1,100000,0,0,28,0.92927,post_filter,0.5545420062844642,1.0,0.9722728996857768,0.5,0.7045459718422835,0.61,True,post_filter,0.9722728996857768
1,100000,0,21,26,0.8826,post_filter,0.7745010007056408,1.0,0.961274949964718,0.405,0.5,0.61,False,post_filter,0.961274949964718
1,100000,0,41,11,0.29827,post_filter,0.2444179990561679,0.8,0.21914431929860598,0.5065222949968302,0.5,0.61,False,bitmap_prefilter,0.5744083003955893
1,100000,0,44,14,0.39017,post_filter,0.6239999929675832,1.0,0.9688000003516208,0.4939683299715398,0.4919843295703489,0.34,False,post_filter,0.9688000003516208
1,100000,0,7,6,0.1808,bitmap_prefilter,5.1015409917454235,1.0,0.7449229504127288,0.5655474171537644,0.5,0.34,False,post_filter,0.9593104002997279
1,100000,0,41,13,0.34161,post_filter,0.2540010027587414,0.9,0.7112867584665303,0.5,0.5467075050153654,0.34,False,post_filter,0.7112867584665303
1,100000,0,17,25,0.85767,post_filter,1.0086660040542483,1.0,0.9495666997972876,0.405,0.5461274949964718,0.34,False,post_filter,0.9495666997972876
1,100000,0,11,24,0.83361,bitmap_prefilter,23.190084008092526,1.0,0.0,0.405,0.5864714154765535,0.34,False,post_filter,0.9643562496203231
1,100000,0,24,26,0.8826,bitmap_prefilter,24.417291999270674,1.0,0.0,0.36450000000000005,0.5864714154765535,0.34,False,post_filter,0.9686583498260006
1,100000,0,44,28,0.92927,post_filter,0.6140000041341409,1.0,0.969299999793293,0.5,0.7313186646266329,0.34,True,post_filter,0.969299999793293
1,100000,0,38,5,0.16001,bitmap_prefilter,4.542583992588334,1.0,0.7728708003705833,0.5,0.545739580008376,0.34,False,bitmap_prefilter,0.7728708003705833
1,100000,0,22,8,0.23083,post_filter,0.3341250048833899,1.0,0.9832937497558305,0.5305744854838123,0.5,0.34,False,post_filter,0.9832937497558305
1,100000,0,5,13,0.34161,post_filter,0.7531250012107193,1.0,0.962343749939464,0.5,0.5631654303604818,0.34,False,post_filter,0.962343749939464
1,100000,0,22,22,0.78694,post_filter,0.3661659939098172,1.0,0.9816917003045091,0.405,0.5457670799994958,0.34,False,post_filter,0.9816917003045091
1,100000,0,3,27,0.90434,post_filter,0.3682079986901954,1.0,0.9815896000654902,0.5,0.7551167981432989,0.34,True,post_filter,0.9815896000654902
1,100000,0,11,14,0.39017,post_filter,0.6261669986997731,1.0,0.9686916500650113,0.4939683299715398,0.5396658966484761,0.34,False,post_filter,0.9686916500650113
1,100000,0,25,13,0.34161,bitmap_prefilter,9.520876003080048,1.0,0.5239561998459976,0.5,0.60308326231838,0.34,False,post_filter,0.9645063002390089
1,100000,0,45,12,0.31908,post_filter,0.6335000070976093,0.9,0.6976165148553977,0.5124814812611004,0.5,0.34,False,post_filter,0.6976165148553977
1,100000,0,43,28,0.92927,post_filter,0.8033749982132576,1.0,0.9598312500893371,0.5,0.7777640783355181,0.34,True,post_filter,0.9598312500893371
1,100000,0,5,29,0.95333,post_filter,0.7358330040005967,1.0,0.9632083497999702,0.5,0.7959707955109,0.34,True,post_filter,0.9632083497999702
1,100000,0,7,20,0.75377,post_filter,0.8572070000809617,1.0,0.9571396499959519,0.405,0.743453798391677,0.34,False,post_filter,0.9571396499959519
1,100000,0,43,5,0.16001,post_filter,0.8207079954445362,1.0,0.9589646002277732,0.5272870800370584,0.545739580008376,0.34,False,post_filter,0.9589646002277732
1,100000,0,32,2,0.08972,post_filter,0.8249170059571043,0.9,0.6907213267895428,0.6361039544237459,0.6273174617600017,0.34,False,bitmap_prefilter,0.8692042001493974
1,100000,0,22,21,0.77111,post_filter,0.5125410025357269,1.0,0.9743729498732137,0.405,0.5893595420299972,0.34,False,post_filter,0.9743729498732137
1,100000,0,28,16,0.65811,post_filter,0.20024999685119838,0.0,0.0,0.4563118749836576,0.6901426419756053,0.34,False,bitmap_prefilter,0.0
1,100000,0,32,9,0.24979,bitmap_prefilter,7.193457990069874,1.0,0.6403271004965063,0.5381137595992623,0.5,0.34,False,post_filter,0.9652104001143016
1,100000,0,46,7,0.21089,bitmap_prefilter,6.563333998201415,1.0,0.6718333000899293,0.5,0.5,0.34,False,post_filter,0.9618645499140257
1,100000,0,23,27,0.90434,post_filter,0.7206660011433996,1.0,0.96396669994283,0.5,0.812694550939807,0.34,True,post_filter,0.96396669994283
1,100000,0,31,14,0.39017,bitmap_prefilter,11.16866699885577,1.0,0.4415666500572115,0.4939683299715398,0.5825684719901296,0.34,False,post_filter,0.9613499498082092
1,100000,0,0,25,0.85767,post_filter,0.6022919988026842,1.0,0.9698854000598658,0.32805000000000006,0.5864714154765535,0.34,False,post_filter,0.9698854000598658
1,100000,0,15,6,0.1808,bitmap_prefilter,5.25766599457711,1.0,0.7371167002711445,0.5834849704796609,0.5,0.34,False,post_filter,0.9661896003090078
1,100000,0,23,11,0.29827,bitmap_prefilter,8.525375000317581,1.0,0.573731249984121,0.5065222949968302,0.4719144319298606,0.34,False,post_filter,0.9635500000294996
1,100000,0,21,20,0.75377,post_filter,0.7777920036460273,1.0,0.9611103998176986,0.405,0.7648223835521045,0.34,False,post_filter,0.9611103998176986
1,100000,0,23,7,0.21089,bitmap_prefilter,6.092916999477893,1.0,0.6953541500261053,0.517183330008993,0.5,0.34,False,post_filter,0.9629250498401234
1,100000,0,14,4,0.1398,post_filter,0.7578759978059679,1.0,0.9621062001097016,0.5859211673509418,0.5,0.34,False,post_filter,0.9621062001097016
1,100000,0,33,7,0.21089,post_filter,0.6384590087691322,1.0,0.9680770495615434,0.5350004120107043,0.5,0.2,False,post_filter,0.9680770495615434
1,100000,0,21,14,0.39017,post_filter,0.8362500011571683,1.0,0.9581874999421416,0.48872816198010693,0.5825684719901296,0.2,False,post_filter,0.9581874999421416
1,100000,0,15,4,0.1398,bitmap_prefilter,4.026583999802824,1.0,0.7986708000098588,0.5859211673509418,0.5462106200109702,0.2,False,post_filter,0.9620728998706909
1,100000,0,23,29,0.95333,post_filter,0.7834579882910475,1.0,0.9608271005854476,0.5,0.8278217658401094,0.2,True,post_filter,0.9608271005854476
1,100000,0,44,7,0.21089,bitmap_prefilter,6.572958001925144,1.0,0.6713520999037428,0.5350004120107043,0.5468077049561544,0.34,False,post_filter,0.9664604500139831
1,100000,0,36,27,0.90434,post_filter,0.6770830004825257,1.0,0.9661458499758737,0.5,0.8411222993146432,0.34,True,post_filter,0.9661458499758737
1,100000,0,20,28,0.92927,post_filter,0.7461660061380826,1.0,0.9626916996930959,0.5,0.8536246543807663,0.34,True,post_filter,0.9626916996930959
1,100000,0,23,23,0.8245,post_filter,0.7217919992399402,1.0,0.963910400038003,0.32805000000000006,0.6248128139348847,0.34,False,post_filter,0.963910400038003
1,100000,0,4,21,0.77111,post_filter,3.787124005611986,1.0,0.8106437997194007,0.405,0.6278608828143188,0.34,False,post_filter,0.8106437997194007
1,100000,0,15,8,0.23083,post_filter,0.6723749975208193,1.0,0.966381250123959,0.5305744854838123,0.5483293749755831,0.34,False,post_filter,0.966381250123959
1,100000,0,28,11,0.29827,post_filter,0.20716599829029292,0.7,0.05776022831943528,0.5132431904955593,0.4719144319298606,0.34,False,post_filter,0.05776022831943528
1,100000,0,1,23,0.8245,post_filter,0.5055419969721697,1.0,0.9747229001513915,0.32805000000000006,0.6587225725451966,0.34,False,post_filter,0.9747229001513915
1,100000,0,37,13,0.34161,post_filter,0.7331239903578535,1.0,0.9633438004821073,0.5023956199845998,0.60308326231838,0.34,False,post_filter,0.9633438004821073
1,100000,0,39,14,0.39017,post_filter,0.7283329978235997,1.0,0.96358335010882,0.48872816198010693,0.6201303747853308,0.34,False,post_filter,0.96358335010882
1,100000,0,13,5,0.16001,post_filter,0.3952089973608963,1.0,0.9802395501319552,0.5272870800370584,0.5870620820303157,0.34,False,post_filter,0.9802395501319552
1,100000,0,36,22,0.78694,post_filter,0.7297910051420331,1.0,0.9635104497428983,0.405,0.646139174504827,0.34,False,post_filter,0.9635104497428983
1,100000,0,39,12,0.31908,bitmap_prefilter,9.097290996578522,1.0,0.5451354501710739,0.5124814812611004,0.5197616514855398,0.34,False,post_filter,0.9635665997629985
1,100000,0,22,7,0.21089,post_filter,0.33666699891909957,1.0,0.983166650054045,0.5486355808000081,0.5468077049561544,0.2,False,post_filter,0.983166650054045
1,100000,0,3,16,0.65811,post_filter,0.3511669929139316,1.0,0.9824416503543034,0.4563118749836576,0.6211283777780447,0.2,False,post_filter,0.9824416503543034
1,100000,0,0,2,0.08972,post_filter,0.5682910050381906,1.0,0.9715854497480905,0.6361039544237459,0.6336578482629558,0.2,False,post_filter,0.9715854497480905
1,100000,0,48,25,0.85767,post_filter,0.6142080092104152,1.0,0.9692895995394792,0.32805000000000006,0.6903226053058161,0.2,False,post_filter,0.9692895995394792
1,100000,0,37,26,0.8826,post_filter,0.7148740041884594,1.0,0.964256299790577,0.32805000000000006,0.7182193047291825,0.2,False,post_filter,0.964256299790577
1,100000,0,33,9,0.24979,post_filter,0.6893749959999695,1.0,0.9655312502000015,0.5483350936889867,0.5,0.2,False,post_filter,0.9655312502000015
1,100000,0,12,21,0.77111,post_filter,1.1015830023097806,1.0,0.944920849884511,0.405,0.6778763020286341,0.2,False,post_filter,0.944920849884511
1,100000,0,49,20,0.75377,post_filter,0.6477920032921247,1.0,0.9676103998353938,0.405,0.784451185178664,0.2,False,post_filter,0.9676103998353938
1,100000,0,20,10,0.2702,post_filter,0.7496660036849789,1.0,0.962516699815751,0.51098333500413,0.5480629200217664,0.2,False,post_filter,0.962516699815751
1,100000,0,2,23,0.8245,post_filter,0.8210419910028577,1.0,0.9589479004498571,0.32805000000000006,0.742823004235322,0.2,False,post_filter,0.9589479004498571
1,100000,0,3,28,0.92927,post_filter,0.36358399665914476,1.0,0.9818208001670428,0.5,0.8645313589119993,0.2,True,post_filter,0.9818208001670428
1,100000,0,26,18,0.70315,post_filter,0.775749002059456,1.0,0.9612125498970272,0.405,0.5901034005134717,0.2,False,post_filter,0.9612125498970272
1,100000,0,38,11,0.29827,bitmap_prefilter,8.501083990267944,1.0,0.5749458004866028,0.5132431904955593,0.4304990115688181,0.2,False,post_filter,0.9856603997614002
1,100000,0,7,4,0.1398,bitmap_prefilter,3.88904100691434,1.0,0.805547949654283,0.6071961306168335,0.5462106200109702,0.2,False,post_filter,0.9594562497804873
1,100000,0,7,1,0.07002,bitmap_prefilter,2.0310409963713028,1.0,0.8984479501814349,0.6361039544237459,0.6674506084114693,0.2,False,post_filter,0.9584353998216102
