phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
3,300000,4.75,main_cat='Camera &amp; Photo' AND overall>=5.0,4.89,0.984,0.9,0.618,1.02,0.674,4.89,0.984
3,300000,6.89,main_cat='Home Audio &amp; Theater' AND overall>=5.0,7.23,0.994,0.84,0.82,1.24,0.84,7.23,0.994
3,300000,9.04,"main_cat IN ('Camera &amp; Photo', 'Books')",8.2,0.984,1.5,0.818,1.39,0.836,8.2,0.984
3,300000,12.12,"main_cat IN ('Home Audio &amp; Theater', 'Car Electronics')",0.91,0.918,0.91,0.918,1.64,0.922,11.23,0.984
3,300000,14.0,"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Car Electronics')",0.82,0.946,0.82,0.946,1.77,0.948,12.63,0.98
3,300000,16.03,main_cat='All Electronics' AND overall>=5.0,0.84,0.838,0.84,0.838,2.15,0.856,16.33,0.98
3,300000,17.91,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",1.32,0.854,1.32,0.854,2.02,0.866,15.0,0.982
3,300000,21.3,overall<=3.0,3.69,0.832,3.69,0.832,3.08,0.834,27.18,0.998
3,300000,22.88,"main_cat IN ('Home Audio &amp; Theater', 'Camera & Photo', 'Car Electronics')",1.87,0.94,1.87,0.94,2.41,0.944,20.03,0.98
3,300000,25.05,"main_cat IN ('Home Audio & Theater', 'Office Products')",0.78,0.936,0.78,0.936,2.55,0.94,21.8,0.98
3,300000,26.98,"main_cat IN ('Home Audio & Theater', 'Books', 'Sports & Outdoors')",2.59,0.96,2.59,0.96,2.59,0.964,23.55,0.978
3,300000,29.95,"main_cat IN ('All Electronics', 'Sports & Outdoors', 'Office Products')",2.44,0.94,2.44,0.94,2.75,0.942,26.03,0.978
3,300000,32.02,"main_cat IN ('All Electronics', 'Musical Instruments', 'Car Electronics')",1.0,0.93,1.0,0.93,2.91,0.932,27.19,0.98
3,300000,33.97,"overall IN (1,3,4)",0.75,0.95,0.75,0.95,3.92,0.956,38.29,0.964
3,300000,39.03,"main_cat IN ('All Electronics', 'Camera & Photo', 'Office Products')",0.76,0.95,0.76,0.95,3.7,0.954,33.42,0.98
3,300000,61.08,"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Home Audio &amp; Theater')",4.38,0.952,4.38,0.952,4.66,0.954,52.01,0.98
3,300000,66.03,"overall IN (2,5)",1.73,0.968,1.73,0.968,6.43,0.968,60.22,0.978
3,300000,68.28,"overall IN (3,5)",0.77,0.96,0.77,0.96,5.58,0.96,61.54,0.978
3,300000,70.08,verified=true AND overall>=2.0,3.13,0.964,3.13,0.964,5.99,0.966,60.87,0.976
3,300000,73.07,"overall IN (2,3,5)",4.34,0.97,4.34,0.97,6.45,0.97,75.65,0.978
3,300000,75.49,"overall IN (1,2,5)",5.35,0.97,5.35,0.97,6.86,0.97,77.39,0.978
3,300000,76.34,verified=true AND overall<=5.0,4.31,0.97,4.31,0.97,6.34,0.972,77.95,0.976
3,300000,78.7,overall>=4.0,3.29,0.942,3.29,0.942,6.42,0.942,70.38,0.974
3,300000,82.54,"overall IN (1,2,3,5)",3.33,0.97,3.33,0.97,6.23,0.97,71.79,0.978
3,300000,83.49,"overall IN (2,4,5)",1.31,0.966,1.31,0.966,6.23,0.966,72.84,0.974
3,300000,85.75,overall>=3.0,3.37,0.964,3.37,0.964,6.13,0.964,73.09,0.974
3,300000,88.17,"overall IN (1,4,5)",2.36,0.97,2.36,0.97,6.18,0.97,75.35,0.974
3,300000,90.53,overall>=2.0,2.99,0.972,2.99,0.972,6.68,0.972,84.13,0.974
3,300000,92.96,"overall IN (1,2,4,5)",3.72,0.97,3.72,0.97,6.33,0.97,78.02,0.974
3,300000,95.21,"overall IN (1,3,4,5)",3.6,0.972,3.6,0.972,7.67,0.972,86.68,0.974
