phase,n_docs,epoch,mean_reward,crossover
1,100000,1,0.862371,0.16
1,100000,2,0.886074,0.2
1,100000,3,0.887375,0.16
1,100000,4,0.887515,0.16
1,100000,5,0.887515,0.16
1,100000,6,0.887515,0.16
1,100000,7,0.887515,0.16
1,100000,8,0.886003,0.2
1,100000,9,0.883887,0.2
1,100000,10,0.883887,0.2
2,200000,1,0.821948,0.14
2,200000,2,0.838537,0.12
2,200000,3,0.836766,0.14
2,200000,4,0.818368,0.2
2,200000,5,0.817162,0.2
2,200000,6,0.829032,0.14
2,200000,7,0.835546,0.14
2,200000,8,0.835546,0.14
2,200000,9,0.83533,0.14
2,200000,10,0.835546,0.14
3,300000,1,0.751487,0.12
3,300000,2,0.760281,0.12
3,300000,3,0.760545,0.12
3,300000,4,0.760545,0.12
3,300000,5,0.760545,0.12
3,300000,6,0.760545,0.12
3,300000,7,0.760545,0.12
3,300000,8,0.760545,0.12
3,300000,9,0.760545,0.12
3,300000,10,0.760545,0.12
4,388058,1,0.707687,0.0
4,388058,2,0.721644,0.1
4,388058,3,0.714228,0.1
4,388058,4,0.714321,0.1
4,388058,5,0.714551,0.1
4,388058,6,0.714551,0.1
4,388058,7,0.714116,0.1
4,388058,8,0.714551,0.1
4,388058,9,0.714565,0.1
4,388058,10,0.714551,0.1
