phase,n_docs,cbo_reward,crossover,bitmap_reward,post_reward,idselector_reward,gain_vs_bitmap_pct,gain_vs_post_pct,gain_vs_idselector_pct
1,100000,0.883887,0.2,0.341681,0.866461,0.82393,158.6881,2.0112,7.2769
2,200000,0.835546,0.14,0.175786,0.821564,0.737744,375.3198,1.702,13.2569
3,300000,0.760545,0.12,0.104534,0.745997,0.658935,627.555,1.9501,15.4203
4,388058,0.714551,0.1,0.061107,0.723683,0.619837,1069.3347,-1.2619,15.2805
