phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
2,200000,5.0,"main_cat IN ('Computers', 'Office Products')",2.91,0.974,0.97,0.816,0.74,0.834,2.91,0.974
2,200000,7.08,brand='Tiffen',3.89,0.982,0.87,0.652,0.79,0.692,3.89,0.982
2,200000,9.08,main_cat='Home Audio &amp; Theater' AND overall>=3.0,5.63,0.988,0.8,0.886,1.04,0.896,5.63,0.988
2,200000,12.08,"main_cat IN ('Camera &amp; Photo', 'Computers')",7.03,0.986,0.8,0.89,1.08,0.892,7.03,0.986
2,200000,14.0,"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Office Products')",0.78,0.952,0.78,0.952,1.3,0.958,8.31,0.99
2,200000,16.02,"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Office Products')",0.79,0.882,0.79,0.882,1.36,0.894,9.26,0.994
2,200000,17.81,"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')",0.79,0.92,0.79,0.92,1.43,0.922,10.5,0.984
2,200000,21.04,overall<=3.0,0.82,0.846,0.82,0.846,2.04,0.856,17.89,0.996
2,200000,23.1,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Sports & Outdoors')",0.79,0.89,0.79,0.89,1.65,0.9,12.94,0.988
2,200000,24.97,"overall IN (3,4)",0.75,0.946,0.75,0.946,2.25,0.954,20.85,0.968
2,200000,27.0,"main_cat IN ('Home Audio & Theater', 'Books')",0.77,0.942,0.77,0.942,1.97,0.946,15.64,0.966
2,200000,30.09,"main_cat IN ('All Electronics', 'Computers', 'Sports & Outdoors')",0.77,0.936,0.77,0.936,2.03,0.946,17.23,0.982
2,200000,31.88,"overall IN (1,2,4)",0.76,0.948,0.76,0.948,2.79,0.956,25.15,0.966
2,200000,34.01,"main_cat IN ('All Electronics', 'Camera &amp; Photo', 'Musical Instruments')",0.76,0.934,0.76,0.934,2.3,0.944,19.68,0.98
2,200000,38.94,overall<=4.0,0.87,0.95,0.87,0.95,3.01,0.958,29.0,0.968
2,200000,61.06,overall>=5.0,1.89,0.952,1.89,0.952,3.89,0.956,38.42,0.978
2,200000,65.83,verified=true AND overall>=3.0,1.2,0.968,1.2,0.968,3.76,0.972,39.27,0.98
2,200000,68.12,"overall IN (3,5)",0.75,0.97,0.75,0.97,3.88,0.976,42.22,0.976
2,200000,70.28,"overall IN (1,5)",0.79,0.974,0.79,0.974,4.06,0.978,45.4,0.976
2,200000,72.87,"overall IN (2,3,5)",1.81,0.976,1.81,0.976,4.1,0.98,43.02,0.978
2,200000,75.03,"overall IN (1,2,5)",1.14,0.976,1.14,0.976,3.88,0.98,43.18,0.978
2,200000,77.35,"overall IN (1,3,5)",0.7,0.976,0.7,0.976,3.88,0.98,43.89,0.978
2,200000,78.96,overall>=4.0,1.11,0.962,1.11,0.962,4.09,0.966,46.65,0.978
2,200000,82.09,"overall IN (1,2,3,5)",2.51,0.976,2.51,0.976,4.1,0.98,48.5,0.978
2,200000,83.71,"overall IN (2,4,5)",0.71,0.97,0.71,0.97,4.0,0.974,46.34,0.978
2,200000,86.03,overall>=3.0,0.72,0.97,0.72,0.97,4.22,0.976,49.57,0.978
2,200000,88.19,"overall IN (1,4,5)",2.23,0.976,2.23,0.976,4.55,0.98,56.6,0.978
2,200000,90.78,overall>=2.0,0.73,0.976,0.73,0.976,4.19,0.98,50.99,0.978
2,200000,92.94,"overall IN (1,2,4,5)",1.91,0.976,1.91,0.976,4.39,0.98,53.0,0.978
2,200000,95.25,"overall IN (1,3,4,5)",1.23,0.976,1.23,0.976,4.2,0.98,54.73,0.978
