phase,n_docs,cbo_reward,crossover,bitmap_reward,post_reward,idselector_reward,gain_vs_bitmap_pct,gain_vs_post_pct,gain_vs_idselector_pct
1,100000,0.864245,0.61,0.341862,0.869262,0.826208,152.8052,-0.5772,4.6038
2,200000,0.820771,0.14,0.175258,0.827195,0.743527,368.3218,-0.7765,10.3889
3,300000,0.764061,0.14,0.10433,0.770505,0.655323,632.3513,-0.8364,16.593
4,388058,0.739713,0.14,0.06011,0.745417,0.623896,1130.5957,-0.7652,18.5636
