phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
2,200000,5.0,"main_cat IN ('Computers', 'Office Products')",0.82,0.81,0.82,0.81,0.73,0.832,2.84,0.974
2,200000,7.08,brand='Tiffen',0.85,0.654,0.85,0.654,0.8,0.698,3.87,0.982
2,200000,9.08,main_cat='Home Audio &amp; Theater' AND overall>=3.0,0.8,0.882,0.8,0.882,1.07,0.892,5.75,0.988
2,200000,12.08,"main_cat IN ('Camera &amp; Photo', 'Computers')",1.09,0.894,0.79,0.89,1.09,0.894,7.04,0.986
2,200000,14.0,"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Office Products')",0.81,0.952,0.78,0.948,1.34,0.954,8.52,0.99
2,200000,16.02,"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Office Products')",0.79,0.888,0.79,0.888,1.36,0.904,9.37,0.994
2,200000,17.81,"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')",0.78,0.926,0.78,0.926,1.43,0.928,10.28,0.984
2,200000,21.04,overall<=3.0,0.82,0.846,0.82,0.846,2.02,0.856,17.5,0.996
2,200000,23.1,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Sports & Outdoors')",1.58,0.904,0.79,0.892,1.58,0.904,13.06,0.988
2,200000,24.97,"overall IN (3,4)",2.24,0.946,0.76,0.948,2.27,0.958,21.06,0.968
2,200000,27.0,"main_cat IN ('Home Audio & Theater', 'Books')",0.76,0.944,0.76,0.944,1.97,0.952,15.76,0.966
2,200000,30.09,"main_cat IN ('All Electronics', 'Computers', 'Sports & Outdoors')",0.76,0.932,0.76,0.932,2.04,0.944,17.42,0.982
2,200000,31.88,"overall IN (1,2,4)",1.61,0.95,1.61,0.95,2.78,0.962,24.76,0.966
2,200000,34.01,"main_cat IN ('All Electronics', 'Camera &amp; Photo', 'Musical Instruments')",0.83,0.932,0.83,0.932,2.29,0.942,19.83,0.98
2,200000,38.94,overall<=4.0,1.04,0.952,1.04,0.952,3.08,0.964,28.44,0.968
2,200000,61.06,overall>=5.0,0.93,0.952,0.93,0.952,3.88,0.952,38.85,0.978
2,200000,65.83,verified=true AND overall>=3.0,2.66,0.972,2.66,0.972,3.86,0.974,41.55,0.98
2,200000,68.12,"overall IN (3,5)",0.74,0.97,0.74,0.97,3.86,0.972,41.32,0.976
2,200000,70.28,"overall IN (1,5)",0.74,0.974,0.74,0.974,3.95,0.974,42.0,0.976
2,200000,72.87,"overall IN (2,3,5)",0.82,0.976,0.82,0.976,3.98,0.976,43.75,0.978
2,200000,75.03,"overall IN (1,2,5)",1.9,0.976,1.9,0.976,3.98,0.976,44.54,0.978
2,200000,77.35,"overall IN (1,3,5)",0.76,0.976,0.76,0.976,3.92,0.976,46.25,0.978
2,200000,78.96,overall>=4.0,0.78,0.962,0.78,0.962,3.96,0.964,45.65,0.978
2,200000,82.09,"overall IN (1,2,3,5)",1.85,0.976,1.1,0.976,4.05,0.976,47.88,0.978
2,200000,83.71,"overall IN (2,4,5)",1.6,0.97,0.93,0.97,4.03,0.972,47.88,0.978
2,200000,86.03,overall>=3.0,1.72,0.97,1.46,0.97,4.03,0.974,48.7,0.978
2,200000,88.19,"overall IN (1,4,5)",1.02,0.976,0.75,0.976,4.08,0.978,49.46,0.978
2,200000,90.78,overall>=2.0,0.75,0.976,0.75,0.976,4.17,0.978,51.64,0.978
2,200000,92.94,"overall IN (1,2,4,5)",2.11,0.976,2.11,0.976,4.23,0.978,51.78,0.978
2,200000,95.25,"overall IN (1,3,4,5)",0.76,0.976,0.76,0.976,4.22,0.978,52.58,0.978
