phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
3,300000,4.75,main_cat='Camera &amp; Photo' AND overall>=5.0,0.97,0.622,0.96,0.622,1.02,0.68,4.79,0.984
3,300000,6.89,main_cat='Home Audio &amp; Theater' AND overall>=5.0,0.91,0.814,0.91,0.814,1.24,0.834,7.22,0.994
3,300000,9.04,"main_cat IN ('Camera &amp; Photo', 'Books')",0.94,0.824,0.94,0.824,1.34,0.842,8.12,0.984
3,300000,12.12,"main_cat IN ('Home Audio &amp; Theater', 'Car Electronics')",1.6,0.916,0.88,0.908,1.6,0.916,11.07,0.984
3,300000,14.0,"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Car Electronics')",0.84,0.936,0.84,0.936,1.68,0.944,12.44,0.98
3,300000,16.03,main_cat='All Electronics' AND overall>=5.0,2.15,0.856,0.9,0.838,2.2,0.856,16.44,0.98
3,300000,17.91,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",1.98,0.876,0.89,0.862,2.01,0.876,15.4,0.982
3,300000,21.3,overall<=3.0,1.34,0.83,1.34,0.83,3.33,0.828,26.97,0.998
3,300000,22.88,"main_cat IN ('Home Audio &amp; Theater', 'Camera & Photo', 'Car Electronics')",2.48,0.94,3.68,0.934,2.48,0.94,20.76,0.98
3,300000,25.05,"main_cat IN ('Home Audio & Theater', 'Office Products')",0.85,0.938,0.85,0.938,2.61,0.94,22.59,0.98
3,300000,26.98,"main_cat IN ('Home Audio & Theater', 'Books', 'Sports & Outdoors')",0.82,0.964,0.82,0.964,2.57,0.966,23.95,0.978
3,300000,29.95,"main_cat IN ('All Electronics', 'Sports & Outdoors', 'Office Products')",2.73,0.942,0.83,0.938,2.76,0.942,26.19,0.978
3,300000,32.02,"main_cat IN ('All Electronics', 'Musical Instruments', 'Car Electronics')",0.94,0.93,0.94,0.93,2.99,0.934,28.16,0.98
3,300000,33.97,"overall IN (1,3,4)",2.95,0.946,2.95,0.946,4.15,0.952,41.08,0.964
3,300000,39.03,"main_cat IN ('All Electronics', 'Camera & Photo', 'Office Products')",2.51,0.946,1.03,0.946,4.1,0.95,34.51,0.98
3,300000,61.08,"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Home Audio &amp; Theater')",0.88,0.948,0.88,0.948,4.81,0.95,54.1,0.98
3,300000,66.03,"overall IN (2,5)",3.29,0.966,3.29,0.966,5.55,0.968,60.94,0.978
3,300000,68.28,"overall IN (3,5)",0.89,0.958,0.89,0.958,5.74,0.96,63.76,0.978
3,300000,70.08,verified=true AND overall>=2.0,4.27,0.964,4.27,0.964,6.16,0.966,65.68,0.976
3,300000,73.07,"overall IN (2,3,5)",2.51,0.968,2.51,0.968,6.35,0.97,67.25,0.978
3,300000,75.49,"overall IN (1,2,5)",1.2,0.968,1.2,0.968,6.16,0.97,67.37,0.978
3,300000,76.34,verified=true AND overall<=5.0,1.33,0.968,1.33,0.968,6.25,0.97,70.81,0.976
3,300000,78.7,overall>=4.0,1.61,0.942,1.61,0.942,6.07,0.944,68.21,0.974
3,300000,82.54,"overall IN (1,2,3,5)",0.95,0.968,0.95,0.968,6.14,0.97,72.06,0.978
3,300000,83.49,"overall IN (2,4,5)",2.38,0.966,2.38,0.966,6.12,0.968,71.87,0.974
3,300000,85.75,overall>=3.0,1.06,0.964,1.06,0.964,6.31,0.966,75.66,0.974
3,300000,88.17,"overall IN (1,4,5)",3.46,0.968,3.46,0.968,6.31,0.97,77.04,0.974
3,300000,90.53,overall>=2.0,2.01,0.97,2.01,0.97,6.72,0.972,79.79,0.974
3,300000,92.96,"overall IN (1,2,4,5)",3.33,0.968,3.33,0.968,6.45,0.97,79.62,0.974
3,300000,95.21,"overall IN (1,3,4,5)",1.54,0.97,1.54,0.97,6.61,0.972,78.93,0.974
