phase,n_docs,epoch,mean_reward,crossover
1,100000,1,0.854236,0.61
1,100000,2,0.859686,0.61
1,100000,3,0.856067,0.61
1,100000,4,0.862718,0.61
1,100000,5,0.860713,0.61
1,100000,6,0.864454,0.61
1,100000,7,0.864043,0.61
1,100000,8,0.86325,0.71
1,100000,9,0.862677,0.61
1,100000,10,0.864245,0.61
2,200000,1,0.814468,0.34
2,200000,2,0.820875,0.24
2,200000,3,0.819297,0.34
2,200000,4,0.820944,0.61
2,200000,5,0.822554,0.14
2,200000,6,0.824517,0.14
2,200000,7,0.821241,0.14
2,200000,8,0.823758,0.24
2,200000,9,0.81454,0.34
2,200000,10,0.820771,0.14
3,300000,1,0.75621,0.3
3,300000,2,0.760253,0.14
3,300000,3,0.763227,0.14
3,300000,4,0.757793,0.34
3,300000,5,0.761283,0.3
3,300000,6,0.762416,0.34
3,300000,7,0.759253,0.34
3,300000,8,0.756375,0.24
3,300000,9,0.764483,0.24
3,300000,10,0.764061,0.14
4,388058,1,0.725775,0.0
4,388058,2,0.737921,0.0
4,388058,3,0.735959,0.16
4,388058,4,0.735297,0.14
4,388058,5,0.736579,0.0
4,388058,6,0.739945,0.0
4,388058,7,0.737926,0.14
4,388058,8,0.737415,0.14
4,388058,9,0.734019,0.14
4,388058,10,0.739713,0.14
