phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
1,100000,5.03,brand='Sony',0.56,0.868,0.7,0.868,0.51,0.87,1.46,1.0
1,100000,7.0,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories')",0.61,0.916,0.67,0.912,0.58,0.916,2.06,0.986
1,100000,8.97,main_cat='Camera & Photo' AND overall>=3.0,0.66,0.876,0.7,0.864,0.65,0.876,2.64,1.0
1,100000,12.05,"main_cat IN ('Books', 'Sports & Outdoors', 'Office Products')",0.71,0.874,0.72,0.844,0.71,0.874,3.29,0.974
1,100000,13.98,"main_cat IN ('Computers', 'Sports & Outdoors', 'Camera &amp; Photo')",0.79,0.91,0.67,0.9,0.79,0.91,3.98,0.978
1,100000,16.0,"main_cat IN ('Home Audio &amp; Theater', 'Office Products')",0.66,0.932,0.66,0.932,0.85,0.934,4.6,0.992
1,100000,18.08,"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",0.9,0.93,0.66,0.928,0.9,0.93,5.21,0.988
1,100000,21.09,"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Camera &amp; Photo')",0.65,0.948,0.65,0.948,0.97,0.948,6.07,0.992
1,100000,23.08,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo')",1.04,0.958,0.65,0.958,1.04,0.958,6.81,0.984
1,100000,24.98,"main_cat IN ('Home Audio &amp; Theater', 'Camera & Photo', 'Car Electronics')",0.64,0.944,0.64,0.944,1.05,0.944,7.15,0.984
1,100000,27.02,"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors', 'Camera &amp; Photo')",1.2,0.96,0.64,0.96,1.2,0.96,7.82,0.986
1,100000,29.83,"main_cat IN ('Home Audio & Theater', 'Computers', 'Sports & Outdoors')",1.25,0.968,0.64,0.966,1.25,0.968,8.69,0.982
1,100000,31.91,"main_cat IN ('All Electronics', 'Computers', 'Cell Phones &amp; Accessories')",1.23,0.954,0.64,0.954,1.23,0.954,9.04,0.982
1,100000,34.16,"main_cat IN ('Home Audio & Theater', 'Home Audio &amp; Theater', 'Car Electronics')",1.28,0.952,0.64,0.95,1.28,0.952,9.58,0.98
1,100000,39.02,"main_cat IN ('All Electronics', 'Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",1.39,0.952,0.65,0.948,1.41,0.952,11.16,0.984
1,100000,61.14,overall>=5.0,0.65,0.952,0.65,0.952,2.14,0.964,18.88,0.972
1,100000,65.81,"overall IN (2,5)",0.67,0.968,0.67,0.968,2.18,0.978,19.93,0.972
1,100000,68.22,"overall IN (3,5)",0.64,0.966,0.64,0.966,2.18,0.976,20.27,0.972
1,100000,70.32,verified=true AND overall>=2.0,0.64,0.976,0.64,0.976,2.17,0.982,20.46,0.976
1,100000,72.88,"overall IN (2,3,5)",0.84,0.968,0.84,0.968,2.22,0.978,21.58,0.972
1,100000,75.38,"overall IN (1,2,5)",0.65,0.968,0.65,0.968,2.46,0.978,22.78,0.972
1,100000,77.11,verified=true AND overall<=5.0,0.64,0.976,0.64,0.976,2.25,0.982,22.1,0.976
1,100000,78.69,overall>=4.0,0.69,0.97,0.69,0.97,2.25,0.976,22.85,0.976
1,100000,82.45,"overall IN (1,2,3,5)",0.64,0.968,0.64,0.968,2.3,0.978,23.64,0.972
1,100000,83.36,"overall IN (2,4,5)",1.37,0.976,1.37,0.976,2.25,0.982,24.84,0.976
1,100000,85.77,overall>=3.0,0.64,0.976,0.64,0.976,2.25,0.982,24.41,0.976
1,100000,88.26,"overall IN (1,4,5)",0.63,0.976,0.63,0.976,2.29,0.982,24.68,0.976
1,100000,90.43,overall>=2.0,0.64,0.976,0.64,0.976,2.3,0.982,25.39,0.976
1,100000,92.93,"overall IN (1,2,4,5)",0.63,0.976,0.63,0.976,2.35,0.982,26.86,0.976
1,100000,95.33,"overall IN (1,3,4,5)",0.64,0.976,0.64,0.976,2.34,0.982,26.5,0.976
