phase,n_docs,selectivity_pct,filter_name,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
4,388058,5.01,"main_cat IN ('Computers', 'Cell Phones &amp; Accessories')",1.12,0.858,1.0,0.85,1.12,0.858,5.78,0.974
4,388058,7.13,verified=false AND overall<=3.0,1.83,0.7,0.94,0.68,1.83,0.7,12.31,0.998
4,388058,9.24,"main_cat IN ('Camera &amp; Photo', 'Car Electronics')",1.57,0.836,0.93,0.83,1.57,0.836,10.9,0.992
4,388058,11.95,verified=false AND overall<=4.0,0.9,0.89,0.9,0.89,2.28,0.888,19.17,0.998
4,388058,14.12,"main_cat IN ('Camera & Photo', 'Car Electronics')",0.91,0.852,0.91,0.852,2.09,0.862,16.24,0.996
4,388058,16.0,"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Cell Phones &amp; Accessories')",0.88,0.91,0.88,0.91,2.32,0.918,18.43,0.98
4,388058,18.04,"main_cat IN ('Camera & Photo', 'Computers', 'Car Electronics')",0.88,0.894,0.88,0.894,2.45,0.904,20.53,0.988
4,388058,21.24,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",2.69,0.868,0.9,0.846,2.69,0.868,23.49,0.978
4,388058,23.09,"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Computers')",1.44,0.928,1.44,0.928,2.93,0.934,26.73,0.978
4,388058,25.12,"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Car Electronics')",3.1,0.934,3.83,0.928,3.1,0.934,29.19,0.98
4,388058,27.08,"main_cat IN ('Home Audio & Theater', 'Computers')",3.8,0.914,4.57,0.91,3.61,0.914,31.82,0.978
4,388058,29.92,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')",0.89,0.94,0.89,0.94,3.67,0.944,34.05,0.978
4,388058,32.02,"main_cat IN ('All Electronics', 'Musical Instruments', 'Books')",1.91,0.93,1.91,0.93,3.98,0.936,37.84,0.978
4,388058,34.16,"main_cat IN ('Home Audio & Theater', 'Home Audio &amp; Theater')",2.72,0.914,2.72,0.914,3.91,0.916,38.72,0.978
4,388058,39.19,"main_cat IN ('All Electronics', 'Home Audio &amp; Theater', 'Car Electronics')",0.88,0.916,0.88,0.916,4.4,0.92,44.23,0.98
4,388058,60.83,verified=true AND overall>=4.0,1.8,0.93,1.8,0.93,6.98,0.93,72.85,0.978
4,388058,66.13,verified=true AND overall>=3.0,7.43,0.942,3.49,0.942,7.43,0.942,81.43,0.978
4,388058,67.53,"overall IN (3,5)",7.37,0.95,7.35,0.95,7.37,0.95,93.68,0.976
4,388058,70.13,"overall IN (1,5)",7.7,0.956,9.08,0.956,7.7,0.956,105.5,0.978
4,388058,72.59,"overall IN (2,3,5)",3.9,0.95,3.9,0.95,7.27,0.95,84.05,0.976
4,388058,75.18,"overall IN (1,2,5)",0.86,0.956,0.86,0.956,7.25,0.956,85.18,0.978
4,388058,77.37,"overall IN (1,3,5)",2.02,0.954,2.02,0.954,7.53,0.954,90.8,0.976
4,388058,77.87,overall>=4.0,3.55,0.934,3.55,0.934,7.22,0.936,88.27,0.976
4,388058,82.42,"overall IN (1,2,3,5)",0.87,0.954,0.87,0.954,7.35,0.954,91.13,0.976
4,388058,82.92,"overall IN (2,4,5)",3.03,0.946,3.03,0.946,7.76,0.948,96.4,0.976
4,388058,85.11,overall>=3.0,4.1,0.944,4.1,0.944,7.42,0.946,96.33,0.976
4,388058,87.71,"overall IN (1,4,5)",1.89,0.952,1.89,0.952,7.86,0.954,98.11,0.976
4,388058,90.16,overall>=2.0,2.76,0.948,2.76,0.948,7.56,0.95,98.26,0.976
4,388058,92.76,"overall IN (1,2,4,5)",0.87,0.952,0.87,0.952,7.97,0.954,101.23,0.976
4,388058,94.95,"overall IN (1,3,4,5)",3.75,0.95,3.75,0.95,8.18,0.952,103.33,0.976
