episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
1,0.248992,4,1.0,1.0,post_filter,False,4.4907,1.0,0.850308,1.0,0.985031,26.0392,"overall IN (3,4)"
2,0.881823,20,1.0,1.0,post_filter,False,11.8119,1.0,0.606269,1.0,0.960627,26.877,"overall IN (1,4,5)"
3,0.859249,20,1.0,0.960627,pre_filter,False,100.1279,1.0,0.0,0.9,0.960627,29.3076,overall>=3.0
4,0.906777,21,1.0,1.0,post_filter,True,1.9521,1.0,0.934931,1.0,0.993493,25.7501,overall>=2.0
5,0.210713,2,1.0,1.0,post_filter,False,6.4183,1.0,0.786056,1.0,0.978606,25.7034,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
6,0.210713,2,1.0,0.978606,pre_filter,False,15.4418,1.0,0.485274,0.948527,0.978606,28.0862,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
7,0.050727,0,1.0,1.0,pre_filter,False,5.1075,1.0,0.829751,0.982975,1.0,27.8165,"main_cat IN ('Computers', 'Tools & Home Improvement')"
8,0.774129,19,1.0,1.0,pre_filter,False,45.1556,1.0,0.0,0.9,1.0,25.1658,"overall IN (1,3,5)"
9,0.180604,1,1.0,1.0,pre_filter,False,11.0098,1.0,0.633007,0.963301,1.0,25.5103,"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')"
10,0.319094,7,1.0,1.0,pre_filter,False,122.4975,1.0,0.0,0.9,1.0,26.8888,"overall IN (1,2,4)"
11,0.270385,5,1.0,1.0,pre_filter,False,17.8844,1.0,0.403854,0.940385,1.0,25.0087,"main_cat IN ('Home Audio & Theater', 'Books', 'Tools & Home Improvement')"
12,0.230635,3,1.0,1.0,post_filter,False,10.1659,0.8,0.118565,1.0,0.911856,26.5357,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
13,0.906777,21,1.0,0.993493,post_filter,True,5.125,1.0,0.829168,1.0,0.977061,25.2053,overall>=2.0
14,0.092237,0,0.982975,1.0,post_filter,False,5.1711,1.0,0.827631,0.982975,0.982763,25.5397,main_cat='Home Audio &amp; Theater' AND overall>=3.0
15,0.836128,20,0.9,0.960627,post_filter,False,4.5545,1.0,0.848183,0.9,0.949383,25.6244,"overall IN (2,4,5)"
16,0.230635,3,1.0,0.911856,pre_filter,False,13.7144,1.0,0.542854,0.954285,0.911856,26.047,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
17,0.300422,7,0.9,1.0,post_filter,False,18.0151,1.0,0.399496,0.9,0.93995,28.8627,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
18,0.751008,19,0.9,1.0,post_filter,False,5.7243,1.0,0.80919,0.9,0.980919,28.1422,"overall IN (1,2,5)"
19,0.658182,18,1.0,1.0,pre_filter,False,43.6239,1.0,0.0,0.9,1.0,25.3465,verified=true AND overall>=3.0
20,0.319094,7,0.9,0.93995,post_filter,False,6.2159,1.0,0.792804,0.9,0.925235,26.6037,"overall IN (1,2,4)"
