episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
1,0.859249,20,1.0,1.0,pre_filter,False,65.4153,1.0,0.0,0.9,1.0,25.0508,overall>=3.0
2,0.728433,19,1.0,1.0,pre_filter,False,84.6785,1.0,0.0,0.9,1.0,25.243,"overall IN (2,3,5)"
3,0.140751,1,1.0,1.0,post_filter,False,1.3575,0.3,9e-06,1.0,0.900001,26.9135,overall<=2.0
4,0.906777,21,1.0,1.0,post_filter,True,0.8154,1.0,0.972821,1.0,0.997282,25.1512,overall>=2.0
5,0.230635,3,1.0,1.0,pre_filter,False,39.705,1.0,0.0,0.9,1.0,25.5045,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
6,0.073033,0,1.0,1.0,pre_filter,False,11.4908,0.5,0.001006,0.900101,1.0,25.9575,brand='Tiffen'
7,0.751008,19,0.9,1.0,post_filter,False,0.9482,1.0,0.968394,0.9,0.996839,24.9868,"overall IN (1,2,5)"
8,0.610257,18,1.0,1.0,pre_filter,False,59.9371,1.0,0.0,0.9,1.0,24.9552,overall>=5.0
9,0.906777,21,1.0,0.997282,post_filter,True,0.9072,1.0,0.969758,1.0,0.99453,24.7808,overall>=2.0
10,0.300422,7,1.0,1.0,pre_filter,False,53.1843,1.0,0.0,0.9,1.0,24.7625,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
11,0.680906,18,0.9,1.0,pre_filter,False,78.9292,1.0,0.0,0.81,1.0,25.0438,"overall IN (3,5)"
12,0.952472,21,1.0,0.99453,post_filter,True,0.8187,1.0,0.97271,1.0,0.992348,25.0384,"overall IN (1,3,4,5)"
13,0.12068,1,1.0,0.900001,pre_filter,False,15.7755,0.9,0.276124,0.927612,0.900001,25.2667,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
14,0.7886,19,0.9,0.996839,post_filter,False,0.7198,1.0,0.976007,0.9,0.994756,25.1581,overall>=4.0
15,0.906777,21,1.0,0.992348,post_filter,True,0.5543,1.0,0.981522,1.0,0.991265,25.182,overall>=2.0
16,0.658182,18,0.81,1.0,post_filter,False,0.4946,1.0,0.983514,0.81,0.998351,25.4198,verified=true AND overall>=3.0
17,0.906777,21,1.0,0.991265,post_filter,True,0.9559,1.0,0.968136,1.0,0.988952,25.3311,overall>=2.0
18,0.12068,1,0.927612,0.900001,pre_filter,False,13.6215,1.0,0.545951,0.889446,0.900001,25.0665,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
19,0.248992,4,1.0,1.0,pre_filter,False,34.325,1.0,0.0,0.9,1.0,25.0255,"overall IN (3,4)"
20,0.092237,0,0.900101,1.0,post_filter,False,1.0719,1.0,0.964271,0.900101,0.996427,25.0607,main_cat='Home Audio &amp; Theater' AND overall>=3.0
21,0.836128,20,0.9,1.0,pre_filter,False,41.437,1.0,0.0,0.81,1.0,25.0809,"overall IN (2,4,5)"
22,0.160682,1,0.889446,0.900001,pre_filter,False,19.1614,0.9,0.210397,0.821541,0.900001,25.1556,"main_cat IN ('Camera & Photo', 'Computers')"
23,0.230635,3,0.9,1.0,post_filter,False,0.7534,1.0,0.974888,0.9,0.997489,24.856,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
24,0.389743,11,1.0,1.0,pre_filter,False,40.5446,1.0,0.0,0.9,1.0,24.96,overall<=4.0
25,0.929351,21,1.0,0.988952,post_filter,True,0.8867,1.0,0.970443,1.0,0.987101,25.0674,"overall IN (1,2,4,5)"
26,0.658182,18,0.81,0.998351,post_filter,False,0.3126,0.6,0.009994,0.81,0.899516,25.1659,verified=true AND overall>=3.0
27,0.140751,1,0.821541,0.900001,post_filter,False,1.09,0.8,0.172819,0.821541,0.827283,25.2513,overall<=2.0
28,0.881823,20,0.81,1.0,post_filter,False,0.8466,1.0,0.971779,0.81,0.997178,25.1605,"overall IN (1,4,5)"
29,0.339351,8,1.0,1.0,pre_filter,False,45.3107,1.0,0.0,0.9,1.0,25.3247,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
30,0.092237,0,0.900101,0.996427,post_filter,False,0.6288,1.0,0.979039,0.900101,0.994688,24.9685,main_cat='Home Audio &amp; Theater' AND overall>=3.0
31,0.952472,21,1.0,0.987101,post_filter,True,0.445,0.0,0.0,1.0,0.888391,24.9358,"overall IN (1,3,4,5)"
32,0.210713,2,1.0,1.0,pre_filter,False,32.685,0.7,0.0,0.9,1.0,25.2279,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
33,0.881823,20,0.81,0.997178,post_filter,False,0.6687,1.0,0.977711,0.81,0.995231,25.1371,"overall IN (1,4,5)"
34,0.389743,11,0.9,1.0,post_filter,False,0.5235,1.0,0.98255,0.9,0.998255,25.3246,overall<=4.0
35,0.929351,21,1.0,0.888391,post_filter,True,0.8309,1.0,0.972303,1.0,0.896782,25.1638,"overall IN (1,2,4,5)"
36,0.300422,7,0.9,1.0,post_filter,False,0.894,1.0,0.970201,0.9,0.99702,24.988,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
37,0.952472,21,1.0,0.896782,post_filter,True,0.69,1.0,0.976999,1.0,0.904804,25.0036,"overall IN (1,3,4,5)"
38,0.050727,0,0.900101,0.994688,post_filter,False,0.7281,1.0,0.975729,0.900101,0.992792,25.4759,"main_cat IN ('Computers', 'Tools & Home Improvement')"
39,0.339351,8,0.9,1.0,post_filter,False,1.0116,1.0,0.966279,0.9,0.996628,24.856,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
40,0.073033,0,0.900101,0.992792,post_filter,False,0.6123,1.0,0.979592,0.900101,0.991472,25.1685,brand='Tiffen'
41,0.319094,7,0.9,0.99702,post_filter,False,1.0775,0.9,0.56144,0.9,0.953462,25.0007,"overall IN (1,2,4)"
42,0.658182,18,0.81,0.899516,post_filter,False,0.6551,1.0,0.978162,0.81,0.90738,25.2218,verified=true AND overall>=3.0
43,0.300422,7,0.9,0.953462,post_filter,False,0.841,1.0,0.971968,0.9,0.955313,24.9831,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
44,0.210713,2,0.9,1.0,post_filter,False,0.482,0.9,0.573,0.9,0.9573,25.2174,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
45,0.319094,7,0.9,0.955313,post_filter,False,0.6195,1.0,0.979351,0.9,0.957717,25.1876,"overall IN (1,2,4)"
46,0.092237,0,0.900101,0.991472,post_filter,False,0.8879,1.0,0.970403,0.900101,0.989365,25.2045,main_cat='Home Audio &amp; Theater' AND overall>=3.0
47,0.300422,7,0.9,0.957717,pre_filter,False,38.8431,1.0,0.0,0.81,0.957717,24.9153,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
48,0.210713,2,0.9,0.9573,post_filter,False,0.2908,0.0,0.0,0.9,0.86157,24.8106,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
49,0.050727,0,0.900101,0.989365,post_filter,False,0.966,1.0,0.967801,0.900101,0.987209,25.0183,"main_cat IN ('Computers', 'Tools & Home Improvement')"
50,0.270385,5,1.0,1.0,pre_filter,False,14.9878,1.0,0.500406,0.950041,1.0,24.8955,"main_cat IN ('Home Audio & Theater', 'Books', 'Tools & Home Improvement')"
51,0.952472,21,1.0,0.904804,post_filter,True,0.7217,0.9,0.568346,1.0,0.871158,25.1266,"overall IN (1,3,4,5)"
52,0.12068,1,0.821541,0.827283,pre_filter,False,22.1902,1.0,0.260326,0.76542,0.827283,25.4665,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
53,0.881823,20,0.81,0.995231,post_filter,False,0.7463,1.0,0.975124,0.81,0.99322,24.9884,"overall IN (1,4,5)"
54,0.7886,19,0.9,0.994756,post_filter,False,0.8394,1.0,0.972021,0.9,0.992483,25.0572,overall>=4.0
55,0.751008,19,0.9,0.992483,post_filter,False,0.8959,1.0,0.970136,0.9,0.990248,25.1181,"overall IN (1,2,5)"
56,0.270385,5,0.950041,1.0,post_filter,False,0.742,0.6,0.009849,0.950041,0.900985,25.0593,"main_cat IN ('Home Audio & Theater', 'Books', 'Tools & Home Improvement')"
57,0.859249,20,0.81,0.99322,post_filter,False,0.7809,1.0,0.973971,0.81,0.991296,24.9323,overall>=3.0
58,0.140751,1,0.76542,0.827283,post_filter,False,1.2588,0.0,0.0,0.76542,0.744554,27.3085,overall<=2.0
59,0.140751,1,0.76542,0.744554,pre_filter,False,21.0647,1.0,0.297843,0.718662,0.744554,24.8913,overall<=2.0
60,0.073033,0,0.900101,0.987209,post_filter,False,1.2456,0.7,0.04522,0.900101,0.89301,24.9869,brand='Tiffen'
61,0.248992,4,0.9,1.0,post_filter,False,0.9581,1.0,0.968064,0.9,0.996806,24.7752,"overall IN (3,4)"
62,0.952472,21,1.0,0.871158,post_filter,True,0.7829,1.0,0.973903,1.0,0.881433,24.924,"overall IN (1,3,4,5)"
63,0.881823,20,0.81,0.991296,post_filter,False,0.8827,1.0,0.970576,0.81,0.989224,24.8657,"overall IN (1,4,5)"
64,0.610257,18,0.81,0.90738,post_filter,False,0.8958,1.0,0.97014,0.81,0.913656,27.6771,overall>=5.0
65,0.7886,19,0.9,0.990248,post_filter,False,0.6641,1.0,0.977863,0.9,0.989009,32.1168,overall>=4.0
66,0.881823,20,0.81,0.989224,post_filter,False,0.7479,1.0,0.975071,0.81,0.987808,24.8931,"overall IN (1,4,5)"
67,0.140751,1,0.718662,0.744554,post_filter,False,0.8834,0.2,0.0,0.718662,0.670099,27.6447,overall<=2.0
68,0.836128,20,0.81,0.987808,post_filter,False,0.9045,1.0,0.969851,0.81,0.986013,25.0065,"overall IN (2,4,5)"
69,0.7886,19,0.9,0.989009,post_filter,False,0.7083,0.9,0.568607,0.9,0.946969,24.9237,overall>=4.0
70,0.610257,18,0.81,0.913656,post_filter,False,0.9768,1.0,0.96744,0.81,0.919035,25.0626,overall>=5.0
71,0.389743,11,0.9,0.998255,post_filter,False,0.9294,1.0,0.969021,0.9,0.995332,24.877,overall<=4.0
72,0.728433,19,0.9,0.946969,post_filter,False,0.6086,1.0,0.979713,0.9,0.950244,25.0001,"overall IN (2,3,5)"
73,0.050727,0,0.900101,0.89301,pre_filter,False,8.8815,1.0,0.703951,0.880486,0.89301,25.0023,"main_cat IN ('Computers', 'Tools & Home Improvement')"
74,0.929351,21,1.0,0.881433,post_filter,True,0.7994,1.0,0.973353,1.0,0.890625,25.4186,"overall IN (1,2,4,5)"
75,0.092237,0,0.880486,0.89301,post_filter,False,0.5657,0.0,0.0,0.880486,0.803709,29.8091,main_cat='Home Audio &amp; Theater' AND overall>=3.0
76,0.050727,0,0.880486,0.803709,pre_filter,False,8.7115,1.0,0.709617,0.863399,0.803709,28.1059,"main_cat IN ('Computers', 'Tools & Home Improvement')"
77,0.230635,3,0.9,0.997489,post_filter,False,1.0811,1.0,0.963962,0.9,0.994136,25.1014,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
78,0.180604,1,0.718662,0.670099,pre_filter,False,25.1776,1.0,0.160746,0.662871,0.670099,24.9617,"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')"
79,0.881823,20,0.81,0.986013,post_filter,False,0.7515,1.0,0.97495,0.81,0.984906,25.1843,"overall IN (1,4,5)"
80,0.140751,1,0.662871,0.670099,post_filter,False,0.8641,1.0,0.971196,0.662871,0.700209,25.0186,overall<=2.0
81,0.680906,18,0.81,0.919035,post_filter,False,0.3516,1.0,0.988279,0.81,0.925959,25.3313,"overall IN (3,5)"
82,0.821657,20,0.81,0.984906,post_filter,False,1.0398,1.0,0.965339,0.81,0.98295,24.9936,"overall IN (1,2,3,5)"
