episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
1,0.859249,20,1.0,1.0,pre_filter,False,48.1614,1.0,0.0,0.9,1.0,24.372,overall>=3.0
2,0.728433,19,1.0,1.0,pre_filter,False,42.1502,1.0,0.0,0.9,1.0,25.0674,"overall IN (2,3,5)"
3,0.140751,1,1.0,1.0,pre_filter,False,12.6949,1.0,0.576837,0.957684,1.0,27.1183,overall<=2.0
4,0.906777,21,1.0,1.0,post_filter,True,0.8159,1.0,0.972804,1.0,0.99728,24.7945,overall>=2.0
5,0.230635,3,1.0,1.0,pre_filter,False,66.6217,1.0,0.0,0.9,1.0,26.5017,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
6,0.073033,0,1.0,1.0,pre_filter,False,4.3662,1.0,0.854461,0.985446,1.0,26.5999,brand='Tiffen'
7,0.751008,19,0.9,1.0,post_filter,False,0.9336,1.0,0.968879,0.9,0.996888,25.1929,"overall IN (1,2,5)"
8,0.610257,18,1.0,1.0,pre_filter,False,38.3835,1.0,0.0,0.9,1.0,24.8534,overall>=5.0
9,0.906777,21,1.0,0.99728,post_filter,True,1.0031,1.0,0.966563,1.0,0.994209,25.0352,overall>=2.0
10,0.300422,7,1.0,1.0,post_filter,False,1.0255,1.0,0.965818,1.0,0.996582,24.7083,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
11,0.680906,18,0.9,1.0,post_filter,False,10.0171,1.0,0.666097,0.9,0.96661,25.8229,"overall IN (3,5)"
12,0.952472,21,1.0,0.994209,post_filter,True,2.2657,1.0,0.924478,1.0,0.987236,24.4067,"overall IN (1,3,4,5)"
13,0.12068,1,0.957684,1.0,pre_filter,False,7.0457,1.0,0.765142,0.93843,1.0,24.8376,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
14,0.7886,19,0.9,0.996888,post_filter,False,2.629,1.0,0.912365,0.9,0.988436,25.9142,overall>=4.0
15,0.906777,21,1.0,0.987236,post_filter,True,2.3802,1.0,0.920661,1.0,0.980578,25.0647,overall>=2.0
16,0.658182,18,0.9,0.96661,post_filter,False,1.4292,1.0,0.95236,0.9,0.965185,24.4232,verified=true AND overall>=3.0
17,0.906777,21,1.0,0.980578,post_filter,True,2.4659,1.0,0.917803,1.0,0.974301,25.0467,overall>=2.0
18,0.12068,1,0.93843,1.0,post_filter,False,2.2,1.0,0.926667,0.93843,0.992667,25.0674,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
19,0.248992,4,1.0,1.0,pre_filter,False,70.8891,1.0,0.0,0.9,1.0,24.888,"overall IN (3,4)"
20,0.092237,0,0.985446,1.0,pre_filter,False,5.5922,1.0,0.813592,0.968261,1.0,24.937,main_cat='Home Audio &amp; Theater' AND overall>=3.0
21,0.836128,20,0.9,1.0,post_filter,False,1.784,1.0,0.940535,0.9,0.994053,25.1925,"overall IN (2,4,5)"
22,0.160682,1,0.93843,0.992667,post_filter,False,1.5435,0.9,0.552394,0.93843,0.948639,24.6926,"main_cat IN ('Camera & Photo', 'Computers')"
23,0.230635,3,0.9,1.0,post_filter,False,1.4792,1.0,0.950694,0.9,0.995069,25.1577,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
24,0.389743,11,1.0,1.0,post_filter,False,1.9691,1.0,0.934364,1.0,0.993436,24.3432,overall<=4.0
25,0.929351,21,1.0,0.974301,post_filter,True,1.9586,1.0,0.934714,1.0,0.970342,24.988,"overall IN (1,2,4,5)"
26,0.658182,18,0.9,0.965185,post_filter,False,0.8711,0.6,0.009806,0.9,0.869647,24.5824,verified=true AND overall>=3.0
27,0.140751,1,0.93843,0.948639,post_filter,False,1.921,0.8,0.167851,0.93843,0.870561,25.0378,overall<=2.0
28,0.881823,20,0.9,0.994053,post_filter,False,1.4492,1.0,0.951693,0.9,0.989817,24.6673,"overall IN (1,4,5)"
29,0.339351,8,1.0,1.0,pre_filter,False,91.4589,1.0,0.0,0.9,1.0,24.6565,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
30,0.092237,0,0.968261,1.0,post_filter,False,3.385,1.0,0.887167,0.968261,0.988717,24.5445,main_cat='Home Audio &amp; Theater' AND overall>=3.0
31,0.952472,21,1.0,0.970342,post_filter,True,1.2596,0.0,0.0,1.0,0.873308,24.9697,"overall IN (1,3,4,5)"
32,0.210713,2,1.0,1.0,post_filter,False,1.9152,0.7,0.044167,1.0,0.904417,25.0165,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
33,0.881823,20,0.9,0.989817,post_filter,False,1.9132,1.0,0.936228,0.9,0.984458,24.8556,"overall IN (1,4,5)"
34,0.389743,11,1.0,0.993436,pre_filter,False,121.837,1.0,0.0,0.9,0.993436,25.4081,overall<=4.0
35,0.929351,21,1.0,0.873308,post_filter,True,2.2432,1.0,0.925226,1.0,0.8785,24.6888,"overall IN (1,2,4,5)"
36,0.300422,7,1.0,0.996582,pre_filter,False,17.7281,1.0,0.409064,0.940906,0.996582,24.529,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
37,0.952472,21,1.0,0.8785,post_filter,True,2.0881,1.0,0.930396,1.0,0.883689,24.8839,"overall IN (1,3,4,5)"
38,0.050727,0,0.968261,0.988717,post_filter,False,2.0458,1.0,0.931808,0.968261,0.983026,26.6254,"main_cat IN ('Computers', 'Tools & Home Improvement')"
39,0.339351,8,0.9,1.0,post_filter,False,2.5633,1.0,0.914557,0.9,0.991456,25.7383,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
40,0.073033,0,0.968261,0.983026,post_filter,False,1.9235,1.0,0.935883,0.968261,0.978312,25.601,brand='Tiffen'
41,0.319094,7,0.940906,0.996582,post_filter,False,2.1808,0.9,0.540024,0.940906,0.950926,24.875,"overall IN (1,2,4)"
42,0.658182,18,0.9,0.869647,pre_filter,False,40.3262,1.0,0.0,0.81,0.869647,25.5578,verified=true AND overall>=3.0
43,0.300422,7,0.940906,0.950926,post_filter,False,2.1131,1.0,0.929564,0.940906,0.94879,25.1919,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
44,0.210713,2,1.0,0.904417,pre_filter,False,13.5436,1.0,0.548547,0.954855,0.904417,25.6183,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
45,0.319094,7,0.940906,0.94879,pre_filter,False,24.689,1.0,0.177032,0.864519,0.94879,24.9606,"overall IN (1,2,4)"
46,0.092237,0,0.968261,0.978312,post_filter,False,2.0981,1.0,0.930064,0.968261,0.973487,25.2026,main_cat='Home Audio &amp; Theater' AND overall>=3.0
47,0.300422,7,0.864519,0.94879,pre_filter,False,17.3963,1.0,0.420124,0.820079,0.94879,24.9485,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
48,0.210713,2,0.954855,0.904417,pre_filter,False,11.6755,0.0,0.0,0.859369,0.904417,25.0229,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
49,0.050727,0,0.968261,0.973487,pre_filter,False,10.1612,1.0,0.661294,0.937564,0.973487,27.8306,"main_cat IN ('Computers', 'Tools & Home Improvement')"
50,0.270385,5,1.0,1.0,post_filter,False,8.4174,1.0,0.719419,1.0,0.971942,26.3591,"main_cat IN ('Home Audio & Theater', 'Books', 'Tools & Home Improvement')"
51,0.952472,21,1.0,0.883689,post_filter,True,3.5723,0.9,0.513012,1.0,0.846621,33.931,"overall IN (1,3,4,5)"
52,0.12068,1,0.93843,0.870561,pre_filter,False,9.3713,1.0,0.687622,0.913349,0.870561,37.2654,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
53,0.881823,20,0.9,0.984458,pre_filter,False,482.1098,1.0,0.0,0.81,0.984458,132.9325,"overall IN (1,4,5)"
54,0.7886,19,0.9,0.988436,pre_filter,False,348.164,1.0,0.0,0.81,0.988436,104.3159,overall>=4.0
55,0.751008,19,0.81,0.988436,post_filter,False,8.6609,1.0,0.711303,0.81,0.960722,27.9322,"overall IN (1,2,5)"
56,0.270385,5,1.0,0.971942,pre_filter,False,20.4112,1.0,0.319628,0.931963,0.971942,29.4269,"main_cat IN ('Home Audio & Theater', 'Books', 'Tools & Home Improvement')"
