epoch,query_idx,global_step,selectivity,strategy_chosen,latency_ms,recall,reward,q_bitmap,q_post,crossover_estimate,decision_overhead_us,was_guardrail,oracle_strategy,oracle_reward
0,17,0,0.7034800604868885,bitmap_prefilter,40.58916604844853,1.0,0.0,0.5,0.5,,6.708025466650724,False,post_filter,0.9635312502505258
0,8,1,0.8818234835699651,post_filter,0.9099579765461385,1.0,0.9545021011726931,0.5,0.5,,3.208988346159458,False,post_filter,0.9545021011726931
0,44,2,0.21071319821842374,post_filter,0.6275419727899134,0.9,0.6978311340757342,0.5,0.5,,1.2080417945981026,False,post_filter,0.6978311340757342
0,23,3,0.8216565769169234,post_filter,0.6934590055607259,1.0,0.9653270497219637,0.5,0.5454502101172694,,1.2090313248336315,False,post_filter,0.9653270497219637
0,15,4,0.9524723757618923,post_filter,0.7372499676421285,1.0,0.9631375016178936,0.5,0.5,0.8,0.5420297384262085,True,post_filter,0.9631375016178936
0,38,5,0.7510076847249962,post_filter,1.0522499796934426,1.0,0.9473875010153279,0.5,0.5,0.66,1.2090313248336315,False,post_filter,0.9473875010153279
0,12,6,0.31909414175195217,post_filter,0.8152920054271817,1.0,0.9592353997286409,0.5,0.5,0.66,0.8750357665121555,False,post_filter,0.9592353997286409
0,42,7,0.23063464783934848,post_filter,0.9085829951800406,1.0,0.954570850240998,0.5,0.5,0.2,0.7919734343886375,False,post_filter,0.954570850240998
0,2,8,0.9067769055692322,post_filter,0.7879170007072389,0.9,0.6920541342003553,0.5,0.5463137501617894,0.2,0.29098009690642357,True,post_filter,0.6920541342003553
0,29,9,0.6809058582480478,post_filter,0.5452090408653021,1.0,0.9727395479567349,0.45,0.5,0.2,1.00000761449337,False,post_filter,0.9727395479567349
0,12,10,0.6102569660561207,bitmap_prefilter,37.20124898245558,1.0,0.0,0.5,0.5,0.2,1.04197533801198,False,post_filter,0.9630458478350192
0,11,11,0.3897430339438793,bitmap_prefilter,27.706541994120926,1.0,0.0,0.5,0.5,0.2,0.9159557521343231,False,post_filter,0.8573124496033415
0,23,12,0.3004216534803185,bitmap_prefilter,16.68983302079141,1.0,0.16550834896042943,0.5,0.5459235399728641,0.2,0.8750357665121555,False,post_filter,0.9552021006820723
0,35,13,0.9293511078080728,post_filter,0.8656670106574893,1.0,0.9567166494671255,0.5,0.560887788565646,0.2,0.2500019036233425,True,post_filter,0.9567166494671255
0,37,14,0.9293511078080728,post_filter,0.6546250078827143,1.0,0.9672687496058643,0.5,0.600470674655794,0.2,0.20902371034026146,True,post_filter,0.9672687496058643
0,4,15,0.3897430339438793,bitmap_prefilter,28.05049897870049,1.0,0.0,0.45,0.5,0.2,0.9579816833138466,False,post_filter,0.6173708495916799
0,12,16,0.7741289526788157,bitmap_prefilter,43.899916927330196,1.0,0.0,0.5,0.5,0.2,1.0420335456728935,False,post_filter,0.9204625026322901
0,45,17,0.7034800604868885,post_filter,1.2285420089028776,1.0,0.9385728995548561,0.45,0.5472739547956735,0.2,1.0420335456728935,False,post_filter,0.9385728995548561
0,8,18,0.33935105619809974,bitmap_prefilter,18.977999920025468,1.0,0.051100003998726606,0.5,0.5,0.2,0.833999365568161,False,post_filter,0.9453916505444795
0,11,19,0.7741289526788157,post_filter,2.4980009766295552,1.0,0.8750999511685222,0.45,0.5,0.2,1.00000761449337,False,post_filter,0.8750999511685222
0,32,20,0.18060393990534732,post_filter,0.6937499856576324,1.0,0.9653125007171184,0.5,0.5,0.18,0.667001586407423,False,post_filter,0.9653125007171184
0,19,21,0.12067960012592834,bitmap_prefilter,6.882167013827711,1.0,0.6558916493086144,0.5,0.5,0.18,0.667001586407423,False,post_filter,0.9516875512199476
0,29,22,0.7034800604868885,post_filter,0.5707500386051834,1.0,0.9714624980697408,0.45,0.5864038492715918,0.18,1.0840012691915035,False,post_filter,0.9714624980697408
0,17,23,0.6581819870871847,post_filter,0.7042509969323874,1.0,0.9647874501533806,0.45,0.5,0.18,1.0410440154373646,False,post_filter,0.9647874501533806
0,44,24,0.7886003891391973,bitmap_prefilter,43.85950102005154,1.0,0.0,0.45,0.5375099951168523,0.18,1.04197533801198,False,post_filter,0.6887776985671238
0,13,25,0.09223734394434381,bitmap_prefilter,5.473998957313597,1.0,0.7263000521343201,0.5,0.5,0.18,0.5420297384262085,False,post_filter,0.9584749981295317
0,1,26,0.7510076847249962,bitmap_prefilter,41.784208035096526,1.0,0.0,0.5,0.5447387501015328,0.18,0.9579816833138466,False,post_filter,0.9493457988137379
0,14,27,0.23063464783934848,post_filter,0.6837090477347374,0.9,0.6958078939917237,0.5,0.5454570850240998,0.18,0.7500057108700275,False,post_filter,0.6958078939917237
0,49,28,0.3897430339438793,bitmap_prefilter,27.66533399699256,1.0,0.0,0.405,0.5,0.18,0.8330098353326321,False,post_filter,0.6876024495392239
0,15,29,0.07303327294966479,post_filter,0.7005419465713203,0.1,1.9938185515404722e-10,0.5226300052134321,0.5,0.18,0.7500057108700275,False,bitmap_prefilter,0.8083708487683907
0,42,30,0.9067769055692322,post_filter,0.8745830273255706,1.0,0.9562708486337215,0.5,0.637150482150801,0.18,0.20797597244381905,True,post_filter,0.9562708486337215
0,15,31,0.2703846491295978,post_filter,0.5231249961070716,1.0,0.9738437501946464,0.5,0.5,0.18,1.166015863418579,False,post_filter,0.9738437501946464
0,12,32,0.7284334824861556,post_filter,0.9441670263186097,1.0,0.9527916486840695,0.45,0.5447387501015328,0.18,1.040985807776451,False,post_filter,0.9527916486840695
0,43,33,0.9067769055692322,post_filter,0.48487604362890124,0.6,0.012190579100762596,0.5,0.669062518799093,0.18,0.166997779160738,True,post_filter,0.012190579100762596
0,29,34,0.07303327294966479,post_filter,0.6987500237300992,0.8,0.21410451423095625,0.5226300052134321,0.4500000000199382,0.18,0.7079797796905041,False,bitmap_prefilter,0.7772583476034924
0,1,35,0.9524723757618923,post_filter,2.543749986216426,1.0,0.8728125006891787,0.5,0.6033753248292599,0.18,0.2080341801047325,True,post_filter,0.8728125006891787
0,27,36,0.050727442571002423,post_filter,0.9062919998541474,1.0,0.9546854000072926,0.5226300052134321,0.42641045144103995,0.18,0.6249756552278996,False,post_filter,0.9546854000072926
0,32,37,0.7034800604868885,post_filter,0.84920902736485,0.9,0.6898462840446237,0.45,0.6249097141514067,0.18,1.00000761449337,False,post_filter,0.6898462840446237
0,1,38,0.14075071866887556,bitmap_prefilter,11.871041962876916,1.0,0.4064479018561542,0.5,0.5,0.18,0.667001586407423,False,bitmap_prefilter,0.4064479018561542
0,42,39,0.14075071866887556,post_filter,0.8253749692812562,1.0,0.9587312515359372,0.4906447901856154,0.5,0.18,0.7909839041531086,False,post_filter,0.9587312515359372
0,11,40,0.24899231527500373,bitmap_prefilter,20.06358397193253,1.0,0.0,0.5,0.5,0.18,0.7919734343886375,False,post_filter,0.9583416501991451
0,37,41,0.7510076847249962,post_filter,0.6684999680146575,1.0,0.9665750015992671,0.45,0.5855440399597865,0.18,1.00000761449337,False,post_filter,0.9665750015992671
0,39,42,0.3897430339438793,bitmap_prefilter,27.778041956480592,1.0,0.0,0.36450000000000005,0.5,0.18,0.8330098353326321,False,post_filter,0.9304958997527137
0,20,43,0.09223734394434381,bitmap_prefilter,5.600250035058707,1.0,0.7199874982470647,0.5226300052134321,0.47923794629766525,0.18,0.6660120561718941,False,post_filter,0.9658937507774681
0,33,44,0.7741289526788157,post_filter,0.6160419434309006,1.0,0.969197902828455,0.405,0.5375099951168523,0.18,1.00000761449337,False,post_filter,0.969197902828455
